protein_id	pep_num	F163	F164	F165	F166	F167	F168	F169
Pp1s72_301V6.1	3	803290	873390	876346	440467	456078	318816	346886
Pp1s73_31V6.1	3	681687	870663	681022	729806	736749	550852	452895
Pp1s74_243V6.1	3	2581731	2557295	2648094	2186598	1934193	1367770	1944758
Pp1s75_141V6.1	3	9856852	9948087	10068514	5323393	5773476	4657552	5798397
Pp1s75_233V6.1	1	536448	524162	516340	174203	161941	105651	113966
Pp1s75_253V6.1	1	196699	210596	256384	177577	150146	79663	176302
Pp1s75_41V6.1	1	61562	60675	65221	59992	59651	39320	61607
Pp1s76_196V6.1	1	566288	1982626	2484319	556011	333188	430982	493807
Pp1s76_199V6.1	1	146733	196276	175923	130207	162412	249698	126757
Pp1s76_97V6.1	3	1420175	1437035	1301120	1642227	1624975	1438768	1418106
Pp1s77_2V6.1	1	191461	202776	116062	71455	49184	44846	35248
Pp1s78_211V6.1	3	1879062	1850367	1916310	1663684	1545953	911389	1666520
Pp1s79_110V6.1	3	1595767	1536040	1407260	1377684	1240579	1134434	1458854
Pp1s79_140V6.1	3	495540	515456	545774	254578	239194	202549	284469
Pp1s79_167V6.1	1	1433069	1507434	1370168	867508	813346	495545	514666
Pp1s79_92V6.1	1	116576	89071	131328	50045	46606	43616	61329
Pp1s79_93V6.1	1	110528	167393	95240	68759	56126	32441	16119
Pp1s7_15V6.1	1	31750	37526	60765	33210	32189	36776	38645
Pp1s7_222V6.2	1	129827	128929	161281	117267	115105	58083	114904
Pp1s7_250V6.1	1	248810	306720	188993	112134	58903	68540	43488
Pp1s7_458V6.1	1	1554338	1359437	1407378	767605	677911	499232	794778
Pp1s7_56V6.2	2	194526	209033	224680	195993	189692	183349	222490
Pp1s81_230V6.1	1	162510	163191	171279	158746	145458	101959	123094
Pp1s81_260V6.1	1	1292170	1380596	1301328	815687	967685	1451258	764698
Pp1s81_54V6.1	1	237328	331537	403443	350501	450580	357412	310603
Pp1s83_99V6.1	3	1394614	1407951	1701573	871393	947013	912089	817396
Pp1s85_113V6.1	3	1807516	1777326	1851629	791289	865055	778559	787203
Pp1s85_19V6.1	3	557793	715373	612540	628633	641525	707201	563242
Pp1s85_96V6.2	3	580701	565882	465001	637807	581642	622331	685384
Pp1s86_156V6.1	1	947908	825712	1248347	1055833	1165327	472011	742828
Pp1s87_117V6.1	1	36218	41099	45430	46687	33819	13703	18186
Pp1s88_182V6.1	2	227540	317915	315339	130094	172156	143115	103951
Pp1s88_62V6.1	3	1059745	1069980	1085534	981295	887270	844864	950619
Pp1s89_87V6.1	1	232089	234443	159788	100509	77358	58137	45487
Pp1s8_140V6.1	1	42794	41073	48245	44550	43670	40588	33397
Pp1s8_193V6.1	1	84286	105055	113698	210175	170650	135335	189777
Pp1s8_282V6.1	2	133535	140475	146249	89923	72535	62580	72374
Pp1s8_70V6.1	3	554978	669752	899637	858073	708589	515383	692307
Pp1s90_139V6.2	1	47315	42253	41397	30645	24755	13258	27916
Pp1s90_50V6.1	3	2669383	2467475	2670415	1710298	1361897	1223122	1645053
Pp1s91_16V6.1	3	1012643	955987	942146	513544	467807	307414	413975
Pp1s91_247V6.1	1	365872	336788	320109	558039	559011	352957	420337
Pp1s91_60V6.1	1	556629	439534	466447	414312	420591	450017	459266
Pp1s91_92V6.1	2	839224	1050893	1147800	1516442	1837283	1646772	1104865
Pp1s93_161V6.1	1	194615	212317	225791	245540	261477	260811	300450
Pp1s93_165V6.1	2	303686	277685	412966	155305	197341	113389	187900
Pp1s93_26V6.1	2	739538	743091	1060991	417859	427712	325590	366940
Pp1s94_133V6.1	1	1541125	1226449	1165269	524958	481071	633511	649564
Pp1s95_45V6.1	3	3264368	3077803	2689064	2379628	2483250	2494426	3064845
Pp1s97_166V6.1	1	51695	46880	51296	42854	52650	53431	64997
Pp1s98_132V6.1	3	453001	469625	510425	645147	645948	412202	465733
Pp1s99_201V6.1	2	721625	959911	807018	1237967	1039557	1066310	1298194
Pp1s99_95V6.1	3	1882283	3553712	3900309	3239221	3039459	2061842	3158215
Pp1s9_141V6.1	1	308457	330539	367751	370678	356686	284109	337307
Pp1s9_238V6.1	1	2890936	2528482	1354614	1108145	547479	951131	322102
Pp1s9_406V6.1	3	743981	770761	701666	782824	728787	567657	643985
sp|P34915|RBL_PHYPA	3	6882413	7021328	4214841	7565940	5031008	3051688	3616044
sp|P80658|ATPB_PHYPA	3	59773181	53201309	48381473	27027741	27709696	24265498	27014083
sp|Q00761|ACCD_PHYPA	2	611936	570387	802143	223374	180054	134761	199242
sp|Q6YXK2|ATPF_PHYPA	3	1269749	1329537	1515443	1060249	909779	462663	753875
sp|Q6YXK3|ATPA_PHYPA	3	53723128	52935102	49375254	24042442	22410955	16331397	17708445
sp|Q6YXL0|RK14_PHYPA	3	219194	305389	306351	388143	439043	337442	316906
sp|Q6YXL1|RR8_PHYPA	1	47158	61170	144160	58369	58263	25023	42635
sp|Q6YXL2|IF1C_PHYPA	1	120347	138538	155363	139039	157536	180439	164169
sp|Q6YXL3|CYF_PHYPA	3	7561517	6858212	12364634	2607573	2637108	2264957	3409219
sp|Q6YXL9|PSBE_PHYPA	1	4676116	7357351	7865468	2772778	3346372	2330950	1896648
sp|Q6YXM7|CLPP_PHYPA	1	49793	44716	52761	81492	81233	129136	115303
sp|Q6YXM8|PSBB_PHYPA	3	3033978	2835500	10230795	776288	905985	1391345	903788
sp|Q6YXN5|CHLB_PHYPA	3	682967	678695	660963	529130	485015	390826	561514
sp|Q6YXN8|PSBD_PHYPA	3	6726771	10191093	43805788	1414434	1785020	2171644	1612743
sp|Q6YXN9|PSBC_PHYPA	3	4316920	4799509	36917519	1164833	1260576	1212612	1287550
sp|Q6YXP7|NDHH_PHYPA	3	1532554	1548261	1637738	303161	338420	347248	305688
sp|Q6YXP9|NDHI_PHYPA	2	1910243	1686786	1689120	867935	761965	508584	853559
sp|Q6YXQ2|PSAC_PHYPA	1	620121	557569	681958	326732	382710	140942	152604
sp|Q6YXQ7|CHLL_PHYPA	3	735020	994164	1160402	1201759	1315560	1321129	1262275
sp|Q6YXQ8|NDHJ_PHYPA	2	230611	245068	234596	56126	71163	64951	81185
sp|Q6YXQ9|NDHK_PHYPA	1	149963	218168	254726	60493	85267	55228	48788
sp|Q8MFA2|PSAB_PHYPA	3	928155	1011738	14374994	167651	189685	134833	92239
sp|Q8MFA3|PSAA_PHYPA	3	5458206	4893779	59667569	799986	924959	771833	889410
tr|Q1XGA4|Q1XGA4_PHYPA	3	1806195	1864222	2209645	1988422	2056959	1350519	1489553
tr|Q6YXN7|Q6YXN7_PHYPA	3	4931587	5854619	23810838	1488359	1327204	1171188	1131436
tr|Q6YXR2|Q6YXR2_PHYPA	3	430097	445585	576634	807364	947607	628514	567239
