protein_id	pep_num	F163	F164	F165	F166	F167	F168	F169
Pp1s21_137V6.1	2	300966	385547	409676	252785	326853	399815	293546
Pp1s21_139V6.1	1	36765	83936	209799	51847	63734	65420	62940
Pp1s21_270V6.1	3	1002799	999689	1006800	1495690	1707105	1369712	1307855
Pp1s21_393V6.1	1	159433	227767	181834	187892	197568	160010	109046
Pp1s21_407V6.1	2	1004011	962618	839924	736279	624059	585172	677359
Pp1s222_129V6.1	1	155800	192210	197754	93225	97167	73188	84434
Pp1s223_15V6.1	1	374163	327053	325708	196013	162454	133513	300291
Pp1s223_50V6.1	2	970027	1086408	868602	507850	468949	550549	591216
Pp1s223_97V6.1	2	437064	461872	542893	408236	359883	363546	465229
Pp1s225_24V6.1	1	346382	404802	525463	215568	275209	206347	238091
Pp1s227_133V6.1	3	6472355	6215129	5702440	3511847	3253710	2337190	2461369
Pp1s227_66V6.1	3	460066	485109	469188	613955	542136	560931	600488
Pp1s228_3V6.1	3	1426862	1448732	1451091	1798421	1642269	1773297	1915773
Pp1s229_29V6.1	2	289785	307874	298350	202783	191873	160562	214431
Pp1s230_36V6.1	3	426537	409474	408566	398435	450705	255056	197472
Pp1s230_42V6.1	3	989873	795245	949285	393784	396533	243627	349830
Pp1s233_104V6.1	3	4158460	4123497	4403431	3265373	3047890	2472125	3705246
Pp1s234_66V6.1	3	907851	836634	843339	591041	545244	622746	617215
Pp1s239_45V6.1	1	266410	313030	339591	248046	272013	172757	191678
Pp1s23_102V6.1	1	32023	41446	33779	32867	30338	29129	31700
Pp1s23_111V6.1	1	90481	82586	100521	57067	60919	37173	59338
Pp1s23_50V6.1	3	644553	677351	648893	691077	736692	528480	667545
Pp1s241_27V6.1	1	152274	233626	258402	271031	255734	308859	260856
Pp1s241_32V6.1	2	158132	174310	207721	171033	235297	189496	225385
Pp1s241_33V6.1	1	4134444	4363850	4113422	3104966	3129816	3207249	3312228
Pp1s245_2V6.1	3	505118	590907	463792	700776	813808	790564	664784
Pp1s247_41V6.1	1	130931	154326	190424	218266	283693	283199	226159
Pp1s247_7V6.1	1	36892	93908	93498	37114	36906	48475	46538
Pp1s249_62V6.1	1	435352	393087	569587	138652	140113	73398	101521
Pp1s249_94V6.1	1	453874	452910	563972	302092	335770	263707	336025
Pp1s24_254V6.1	1	432117	387199	410732	583715	517445	523900	511262
Pp1s24_39V6.1	1	69581	200652	135131	48150	48939	70130	30206
Pp1s251_36V6.2	1	358892	422030	366523	174312	172406	121406	88496
Pp1s252_28V6.1	1	94196	133884	61559	57349	32167	30277	11033
Pp1s252_87V6.1	1	54126	67001	72742	57594	64525	86984	79183
Pp1s254_25V6.1	3	33807811	38829946	30132045	23857681	23482480	23078155	18402627
Pp1s254_3V6.1	1	5667626	5403499	6641855	1711972	1663517	2123308	2167227
Pp1s255_17V6.1	2	141261	164228	571120	82479	85080	47499	91062
Pp1s257_45V6.1	3	4741664	5536150	5687677	9849332	9326221	8288967	9556482
Pp1s25_170V6.1	1	159002	144795	139070	175378	148460	119681	203735
Pp1s25_204V6.1	2	510429	552069	480485	252841	240014	176064	156753
Pp1s25_21V6.1	3	626338	598343	551451	249795	250692	226101	246799
Pp1s25_261V6.1	1	93479	94632	123047	116936	107956	82402	104195
Pp1s25_336V6.1	1	106067	102621	144108	105216	131600	103878	106393
Pp1s25_8V6.1	1	139829	137440	138977	110221	103843	93493	140104
Pp1s260_24V6.1	2	206042	192814	182256	198249	188290	186803	177815
Pp1s260_4V6.1	1	82397	98820	84869	82357	94772	91949	95275
Pp1s263_35V6.1	1	104999	90195	132539	15585	13641	18136	23271
Pp1s263_36V6.1	3	528251	598585	556611	435198	451714	413713	417254
Pp1s264_55V6.1	3	7078161	6880877	7323306	6529736	6538479	2703876	6365158
Pp1s268_34V6.1	1	501001	550586	597149	281786	276566	250108	241541
Pp1s268_67V6.1	2	307971	288255	362451	347378	317987	281317	530197
Pp1s269_70V6.1	1	311948	348377	364898	302911	360538	271324	310434
Pp1s26_23V6.1	2	149000	162079	139700	98149	91660	70559	74448
Pp1s26_26V6.1	3	458583	455632	437962	312911	398516	667004	462119
Pp1s26_285V6.2	1	40829	43066	31487	26236	25333	17771	15700
Pp1s26_83V6.1	1	87698	83209	81920	65043	59158	57616	92436
Pp1s270_28V6.1	1	23250	22713	23523	23512	24005	22526	23339
Pp1s270_50V6.1	1	131909	152398	888005	70668	71816	42958	33880
Pp1s270_57V6.1	2	1427455	1080493	1338208	340298	379744	530134	429689
Pp1s272_58V6.1	1	60248	85698	80477	97484	103296	82370	106968
Pp1s275_19V6.1	1	139750	152277	142037	89021	101716	76537	69661
Pp1s276_108V6.1	1	298922	412735	335408	310413	344063	233849	162040
