Gene	pd_id
Pp1s101_119V6.1	PHYPADRAFT_133198
Pp1s101_121V6.1	PHYPADRAFT_82194
Pp1s101_123V6.1	PHYPADRAFT_82195
Pp1s101_124V6.1	PHYPADRAFT_82195
Pp1s101_131V6.1	PHYPADRAFT_82198
Pp1s101_132V6.1	PHYPADRAFT_82199
Pp1s101_133V6.1	PHYPADRAFT_82200
Pp1s101_134V6.1	PHYPADRAFT_49112
Pp1s101_141V6.1	PHYPADRAFT_82204
Pp1s101_148V6.1	PHYPADRAFT_58364
Pp1s101_149V6.1	PHYPADRAFT_187106
Pp1s101_150V6.1	PHYPADRAFT_133228
Pp1s101_151V6.1	PHYPADRAFT_133156
Pp1s101_152V6.1	PHYPADRAFT_110049
Pp1s101_153V6.1	PHYPADRAFT_187119
Pp1s101_158V6.1	PHYPADRAFT_82215
Pp1s101_159V6.1	PHYPADRAFT_45544
Pp1s101_160V6.1	PHYPADRAFT_82217
Pp1s101_161V6.1	PHYPADRAFT_133132
Pp1s101_162V6.1	PHYPADRAFT_18919
Pp1s101_163V6.1	PHYPADRAFT_82220
Pp1s101_166V6.1	PHYPADRAFT_187128
Pp1s101_168V6.1	PHYPADRAFT_133247
Pp1s101_168V6.2	PHYPADRAFT_133247
Pp1s101_169V6.1	PHYPADRAFT_166038
Pp1s101_169V6.2	PHYPADRAFT_166038
Pp1s101_170V6.1	PHYPADRAFT_106829
Pp1s101_170V6.2	PHYPADRAFT_106829
Pp1s101_170V6.3	PHYPADRAFT_106829
Pp1s101_171V6.1	PHYPADRAFT_133245
Pp1s101_171V6.2	PHYPADRAFT_133245
Pp1s101_172V6.1	PHYPADRAFT_82229
Pp1s101_174V6.1	PHYPADRAFT_133234
Pp1s101_178V6.1	PHYPADRAFT_46294
Pp1s101_17V6.1	PHYPADRAFT_110047
Pp1s101_182V6.1	PHYPADRAFT_82234
Pp1s101_183V6.1	PHYPADRAFT_133166
Pp1s101_184V6.1	PHYPADRAFT_133210
Pp1s101_185V6.1	PHYPADRAFT_58373
Pp1s101_185V6.2	PHYPADRAFT_58373
Pp1s101_185V6.3	PHYPADRAFT_58373
Pp1s101_185V6.4	PHYPADRAFT_58373
Pp1s101_185V6.5	PHYPADRAFT_58373
Pp1s101_187V6.1	PHYPADRAFT_133224
Pp1s101_18V6.1	PHYPADRAFT_187073
Pp1s101_18V6.2	PHYPADRAFT_187073
Pp1s101_18V6.3	PHYPADRAFT_187073
Pp1s101_191V6.1	PHYPADRAFT_82240
Pp1s101_192V6.1	PHYPADRAFT_133215
Pp1s101_196V6.1	PHYPADRAFT_166048
Pp1s101_199V6.1	PHYPADRAFT_82244
Pp1s101_1V6.1	PHYPADRAFT_133151
Pp1s101_1V6.2	PHYPADRAFT_133151
Pp1s101_1V6.3	PHYPADRAFT_133151
Pp1s101_201V6.1	PHYPADRAFT_106833
Pp1s101_201V6.2	PHYPADRAFT_106833
Pp1s101_203V6.1	PHYPADRAFT_187151
Pp1s101_206V6.1	PHYPADRAFT_133201
Pp1s101_208V6.1	PHYPADRAFT_187157
Pp1s101_210V6.1	PHYPADRAFT_133160,PHYPADRAFT_18953
Pp1s101_214V6.1	PHYPADRAFT_82251
Pp1s101_215V6.1	PHYPADRAFT_106835,PHYPADRAFT_82252
Pp1s101_215V6.2	PHYPADRAFT_106835,PHYPADRAFT_82252
Pp1s101_218V6.1	PHYPADRAFT_187166
Pp1s101_224V6.1	PHYPADRAFT_133145
Pp1s101_225V6.1	PHYPADRAFT_214514
Pp1s101_226V6.1	PHYPADRAFT_214518
Pp1s101_227V6.1	PHYPADRAFT_133214
Pp1s101_22V6.1	PHYPADRAFT_133110
Pp1s101_238V6.1	PHYPADRAFT_133142
Pp1s101_239V6.1	PHYPADRAFT_110052
Pp1s101_240V6.1	PHYPADRAFT_133255
Pp1s101_241V6.1	PHYPADRAFT_133264
Pp1s101_244V6.1	PHYPADRAFT_82272
Pp1s101_245V6.1	PHYPADRAFT_166067
Pp1s101_254V6.1	PHYPADRAFT_133154
Pp1s101_254V6.2	PHYPADRAFT_133154
Pp1s101_26V6.1	PHYPADRAFT_106817
Pp1s101_28V6.1	PHYPADRAFT_166000
Pp1s101_29V6.1	PHYPADRAFT_82152
Pp1s101_2V6.1	PHYPADRAFT_133111
Pp1s101_33V6.1	PHYPADRAFT_214423
Pp1s101_42V6.1	PHYPADRAFT_82156
Pp1s101_43V6.1	PHYPADRAFT_82156
Pp1s101_44V6.1	PHYPADRAFT_166002
Pp1s101_4V6.1	PHYPADRAFT_133280
Pp1s101_50V6.1	PHYPADRAFT_214425
Pp1s101_52V6.1	PHYPADRAFT_82160
Pp1s101_55V6.1	PHYPADRAFT_166004
Pp1s101_56V6.1	PHYPADRAFT_166004
Pp1s101_58V6.1	PHYPADRAFT_82162
Pp1s101_62V6.1	PHYPADRAFT_166005
Pp1s101_64V6.1	PHYPADRAFT_166006
