Gene	PN	PP	Total
Pp1s88_62V6.1	82	117	199
Pp1s234_39V6.1	76	122	198
Pp1s257_45V6.1	82	115	197
Pp1s114_138V6.1	81	115	196
Pp1s237_81V6.1	148	47	195
Pp1s176_89V6.3	88	106	194
Pp1s431_2V6.2	194		194
Pp1s98_132V6.1	71	123	194
Pp1s33_206V6.1	86	107	193
Pp1s369_27V6.1	101	91	192
Pp1s86_156V6.1	88	103	191
Pp1s540_7V6.1	79	111	190
Pp1s161_69V6.1	87	101	188
Pp1s149_154V6.1	61	126	187
Pp1s150_124V6.1	65	122	187
Pp1s3_320V6.1	80	107	187
Pp1s116_53V6.1	70	115	185
Pp1s250_10V6.1	104	80	184
Pp1s94_133V6.1	108	76	184
Pp1s12_40V6.1	65	118	183
Pp1s9_141V6.1	81	102	183
Pp1s330_37V6.1	117	65	182
Pp1s60_106V6.1	74	107	181
Pp1s228_3V6.1	77	103	180
Pp1s42_208V6.1	111	69	180
Pp1s29_256V6.1	75	104	179
Pp1s2_15V6.1	59	118	177
Pp1s114_123V6.2	74	102	176
Pp1s72_197V6.1	110	65	175
Pp1s110_13V6.1	96	78	174
Pp1s348_31V6.1	103	71	174
Pp1s25_21V6.1	105	68	173
Pp1s143_131V6.1	116	55	171
Pp1s10_192V6.1	101	68	169
Pp1s196_68V6.1	79	89	168
Pp1s218_93V6.1	48	119	167
Pp1s405_31V6.1	72	94	166
Pp1s44_268V6.1	53	113	166
Pp1s83_246V6.1	103	63	166
Pp1s422_8V6.1	54	111	165
Pp1s54_167V6.1	100	65	165
Pp1s204_121V6.1	94	70	164
Pp1s58_251V6.1	58	106	164
Pp1s79_167V6.1	73	90	163
Pp1s137_86V6.1	69	93	162
Pp1s91_16V6.1	94	68	162
Pp1s99_201V6.1	62	100	162
sp|Q6YXK2|ATPF_PHYPA	83	79	162
sp|Q6YXL9|PSBE_PHYPA	90	72	162
Pp1s218_28V6.1	61	100	161
Pp1s419_10V6.1	72	89	161
Pp1s78_4V6.1	78	83	161
Pp1s108_171V6.1	81	79	160
Pp1s20_67V6.1	58	102	160
Pp1s143_175V6.1	78	81	159
Pp1s234_46V6.1	91	68	159
Pp1s252_28V6.1	90	68	158
Pp1s347_12V6.1	71	87	158
Pp1s227_133V6.1	79	78	157
Pp1s276_86V6.1	58	99	157
Pp1s157_44V6.1	81	75	156
Pp1s145_122V6.1	104	51	155
Pp1s372_25V6.1	80	75	155
Pp1s1_295V6.1	55	99	154
Pp1s123_61V6.1	124	30	154
Pp1s239_45V6.1	61	93	154
Pp1s270_50V6.1	106	48	154
Pp1s360_13V6.1	60	94	154
Pp1s77_16V6.2	154		154
Pp1s101_184V6.1	64	88	152
Pp1s233_104V6.1	74	78	152
Pp1s66_287V6.1	76	76	152
Pp1s20_130V6.1	61	90	151
Pp1s183_56V6.1	73	77	150
Pp1s227_66V6.1	62	88	150
tr|Q6YXR2|Q6YXR2_PHYPA	78	72	150
Pp1s188_15V6.1	67	82	149
Pp1s26_23V6.1	86	63	149
Pp1s35_94V6.1	74	75	149
Pp1s83_150V6.1	58	91	149
Pp1s317_51V6.1	95	53	148
Pp1s76_97V6.1	67	81	148
Pp1s90_50V6.1	68	80	148
Pp1s37_113V6.1	51	96	147
Pp1s205_25V6.1	85	61	146
Pp1s36_3V6.1	60	86	146
Pp1s382_41V6.1	56	90	146
Pp1s114_157V6.1	64	81	145
Pp1s331_37V6.1	51	94	145
Pp1s37_41V6.1	61	84	145
Pp1s45_76V6.1	98	47	145
Pp1s159_68V6.1	52	92	144
Pp1s204_93V6.1	69	73	142
Pp1s21_137V6.1	72	70	142
Pp1s131_71V6.1	43	95	138
Pp1s171_150V6.1	71	67	138
Pp1s253_16V6.1	64	74	138
Pp1s50_50V6.1	55	83	138
Pp1s273_61V6.1	96	40	136
Pp1s40_304V6.1	48	88	136
Pp1s95_45V6.1	67	69	136
Pp1s111_53V6.2	82	53	135
Pp1s87_131V6.1	61	73	134
Pp1s149_289V6.1	61	72	133
Pp1s450_21V6.1	55	77	132
sp|Q6YXN5|CHLB_PHYPA	68	64	132
Pp1s101_170V6.2	64	67	131
Pp1s155_34V6.1	66	65	131
Pp1s33_172V6.1	56	74	130
Pp1s61_72V6.1	48	82	130
Pp1s140_22V6.1	73	55	128
Pp1s22_79V6.1	66	62	128
Pp1s402_20V6.2	79	49	128
Pp1s66_107V6.1	75	53	128
Pp1s131_104V6.1	66	61	127
Pp1s137_165V6.1	60	67	127
Pp1s19_25V6.1	39	88	127
Pp1s200_69V6.1	60	67	127
Pp1s136_41V6.1	74	52	126
Pp1s85_113V6.1	69	57	126
Pp1s12_371V6.2	39	86	125
Pp1s146_98V6.1	56	69	125
Pp1s319_46V6.1	62	63	125
Pp1s83_99V6.1	69	56	125
Pp1s93_158V6.1	122	3	125
sp|Q6YXP7|NDHH_PHYPA	88	37	125
Pp1s352_68V6.1	54	70	124
Pp1s17_101V6.1	44	79	123
Pp1s79_110V6.1	53	70	123
