Gene	PN	PP	Total
Pp1s307_64V6.1	20	18	38
Pp1s33_280V6.1	14	24	38
Pp1s355_33V6.1	22	16	38
Pp1s402_22V6.1	21	17	38
Pp1s402_42V6.2	14	24	38
Pp1s59_11V6.1	13	25	38
Pp1s66_139V6.1	12	26	38
Pp1s7_250V6.1	22	16	38
Pp1s71_364V6.2	18	20	38
Pp1s72_281V6.1	24	14	38
Pp1s79_93V6.1	29	9	38
sp|Q6YXP2|YCF3_PHYPA	6	32	38
Pp1s153_106V6.1	21	16	37
Pp1s2_657V6.1	25	12	37
Pp1s220_84V6.1	11	26	37
Pp1s247_41V6.1	13	24	37
Pp1s3_505V6.2	16	21	37
Pp1s372_16V6.1	20	17	37
Pp1s66_112V6.1	34	3	37
Pp1s13_20V6.1	16	20	36
Pp1s154_79V6.1	13	23	36
Pp1s160_127V6.1	28	8	36
Pp1s169_130V6.1	11	25	36
Pp1s249_94V6.1	13	23	36
Pp1s287_29V6.1	29	7	36
Pp1s347_25V6.1	22	14	36
Pp1s36_31V6.1	20	16	36
Pp1s391_38V6.1	16	20	36
Pp1s414_7V6.1	15	21	36
Pp1s52_210V6.1	22	14	36
Pp1s64_220V6.1	9	27	36
Pp1s85_94V6.1	24	12	36
Pp1s94_94V6.1	17	19	36
Pp1s101_241V6.1	25	10	35
Pp1s106_185V6.1	12	23	35
Pp1s196_99V6.1	17	18	35
Pp1s22_380V6.1	16	19	35
Pp1s244_82V6.1	10	25	35
Pp1s255_4V6.1	35		35
Pp1s277_34V6.1	21	14	35
Pp1s39_223V6.1	16	19	35
Pp1s39_426V6.2	13	22	35
REV_Pp1s54_136V6.1	17	18	35
sp|Q6YXP8|NU1C_PHYPA	26	9	35
Pp1s107_188V6.1	18	16	34
Pp1s12_341V6.1	16	18	34
Pp1s173_16V6.1	33	1	34
Pp1s2_522V6.1	21	13	34
Pp1s214_66V6.2	28	6	34
Pp1s217_30V6.1	34		34
Pp1s240_64V6.1	32	2	34
Pp1s258_19V6.1	21	13	34
Pp1s269_40V6.1	25	9	34
Pp1s272_58V6.1	9	25	34
Pp1s315_42V6.1	17	17	34
Pp1s34_56V6.2	22	12	34
Pp1s4_75V6.1	17	17	34
Pp1s49_285V6.1	16	18	34
Pp1s70_177V6.1	25	9	34
tr|A9RGW9|A9RGW9_PHYPA	23	11	34
Pp1s1_89V6.1	7	26	33
Pp1s119_22V6.1	15	18	33
Pp1s281_9V6.1	21	12	33
Pp1s31_130V6.1	15	18	33
Pp1s370_6V6.1	19	14	33
Pp1s4_362V6.1	17	16	33
Pp1s41_264V6.1	24	9	33
Pp1s5_30V6.1	23	10	33
Pp1s54_206V6.1	3	30	33
Pp1s83_45V6.1	28	5	33
Pp1s88_1V6.1	33		33
sp|Q6YXP4|CHLN_PHYPA	29	4	33
Pp1s1_765V6.1	20	12	32
Pp1s133_105V6.1	13	19	32
Pp1s161_111V6.1	28	4	32
Pp1s190_86V6.1	13	19	32
Pp1s205_59V6.1	17	15	32
Pp1s25_336V6.1	22	10	32
Pp1s275_19V6.1	18	14	32
Pp1s33_209V6.1	32		32
Pp1s49_260V6.1	32		32
Pp1s523_20V6.1	9	23	32
Pp1s60_169V6.1	10	22	32
Pp1s77_317V6.1	14	18	32
Pp1s79_105V6.1	20	12	32
REV_Pp1s279_18V6.1	20	12	32
tr|A9T3D3|A9T3D3_PHYPA	32		32
Pp1s125_77V6.1	14	17	31
Pp1s15_197V6.1	30	1	31
Pp1s15_26V6.1	16	15	31
Pp1s16_378V6.1	14	17	31
Pp1s180_124V6.1	29	2	31
Pp1s246_110V6.1	25	6	31
Pp1s291_35V6.1	31		31
Pp1s319_35V6.1	16	15	31
Pp1s33_47V6.1	21	10	31
Pp1s335_17V6.1	24	7	31
Pp1s339_66V6.1	20	11	31
Pp1s369_6V6.1	4	27	31
Pp1s41_267V6.1	15	16	31
Pp1s422_7V6.2	20	11	31
Pp1s553_2V6.1	15	16	31
Pp1s70_257V6.1	16	15	31
Pp1s72_262V6.1	11	20	31
Pp1s76_199V6.1	16	15	31
Pp1s80_151V6.1	19	12	31
Pp1s84_136V6.1	15	16	31
Pp1s13_142V6.1	14	16	30
Pp1s137_144V6.1	8	22	30
Pp1s137_194V6.1	29	1	30
Pp1s144_58V6.1	14	16	30
Pp1s16_27V6.1	17	13	30
Pp1s161_14V6.1	14	16	30
Pp1s182_1V6.1	18	12	30
Pp1s185_81V6.1	26	4	30
Pp1s196_120V6.1	21	9	30
Pp1s3_353V6.1	7	23	30
Pp1s32_278V6.1	12	18	30
Pp1s55_275V6.1	10	20	30
Pp1s77_324V6.1	8	22	30
Pp1s84_273V6.1	13	17	30
sp|Q6YXM7|CLPP_PHYPA	8	22	30
Pp1s130_5V6.1	10	19	29
Pp1s137_78V6.1	14	15	29
Pp1s170_89V6.1	29		29
Pp1s191_87V6.1	13	16	29
Pp1s210_69V6.1	16	13	29
Pp1s215_51V6.1	29		29
Pp1s27_256V6.1	13	16	29
Pp1s303_50V6.1	15	14	29
Pp1s51_117V6.1	29		29
Pp1s64_202V6.1	14	15	29
Pp1s70_182V6.1	18	11	29
Pp1s70_212V6.1	20	9	29
Pp1s79_92V6.1	17	12	29
Pp1s85_170V6.1	29		29
REV_Pp1s725_2V6.1	14	15	29
Pp1s17_382V6.1	16	12	28
Pp1s175_129V6.1	7	21	28
Pp1s191_74V6.1	19	9	28
Pp1s195_100V6.1	28		28
Pp1s222_129V6.1	17	11	28
Pp1s301_31V6.1	10	18	28
Pp1s312_21V6.1	9	19	28
Pp1s317_49V6.1	12	16	28
Pp1s341_42V6.1	10	18	28
Pp1s378_9V6.1	15	13	28
Pp1s38_211V6.1	18	10	28
Pp1s39_315V6.1	19	9	28
Pp1s450_16V6.1	22	6	28
Pp1s98_136V6.1	16	12	28
Pp1s10_203V6.1	27		27
Pp1s100_192V6.1	27		27
Pp1s120_127V6.1	7	20	27
Pp1s122_165V6.1	19	8	27
Pp1s15_317V6.1	14	13	27
Pp1s15_434V6.1	20	7	27
Pp1s198_161V6.1	8	19	27
Pp1s215_63V6.1	19	8	27
Pp1s22_258V6.1	15	12	27
Pp1s226_114V6.1	15	12	27
Pp1s229_35V6.1	10	17	27
Pp1s230_32V6.1	14	13	27
Pp1s26_83V6.1	8	19	27
Pp1s276_96V6.1	27		27
Pp1s33_110V6.1	27		27
Pp1s359_40V6.1	8	19	27
Pp1s38_256V6.1	8	19	27
Pp1s38_401V6.1	14	13	27
Pp1s380_25V6.1	20	7	27
Pp1s59_148V6.1	17	10	27
Pp1s66_47V6.1	9	18	27
Pp1s1_636V6.1	6	20	26
Pp1s13_231V6.1	15	11	26
Pp1s13_238V6.1	16	10	26
Pp1s13_430V6.1	14	12	26
Pp1s160_155V6.1	17	9	26
Pp1s169_113V6.1	10	16	26
Pp1s198_22V6.1	9	17	26
Pp1s224_46V6.1	8	18	26
Pp1s25_110V6.1	8	18	26
Pp1s30_262V6.1	9	17	26
Pp1s339_13V6.1	9	17	26
Pp1s342_34V6.1	15	11	26
Pp1s39_247V6.1	8	18	26
Pp1s396_19V6.1	15	11	26
Pp1s450_17V6.1	16	10	26
Pp1s53_211V6.1	15	11	26
Pp1s54_12V6.1	19	7	26
Pp1s90_139V6.2	17	9	26
sp|Q6YXL8|PSBF_PHYPA	7	19	26
Pp1s10_194V6.1	7	18	25
Pp1s101_208V6.1	25		25
Pp1s117_2V6.1	25		25
Pp1s13_123V6.1	13	12	25
Pp1s132_186V6.1	12	13	25
Pp1s159_111V6.1	23	2	25
Pp1s241_34V6.1	11	14	25
Pp1s309_73V6.1	12	13	25
Pp1s31_187V6.1	11	14	25
Pp1s333_15V6.1	9	16	25
Pp1s338_65V6.1	8	17	25
Pp1s347_23V6.1	8	17	25
Pp1s390_3V6.2	7	18	25
Pp1s44_176V6.1	16	9	25
Pp1s52_50V6.1	6	19	25
Pp1s79_61V6.1	15	10	25
Pp1s84_178V6.1	19	6	25
tr|A9U4Z5|A9U4Z5_PHYPA	9	16	25
Pp1s1_789V6.1	21	3	24
Pp1s10_201V6.1	24		24
Pp1s125_47V6.1	13	11	24
Pp1s13_116V6.1	12	12	24
Pp1s130_191V6.1	23	1	24
Pp1s147_63V6.1	16	8	24
Pp1s15_232V6.1	8	16	24
Pp1s150_85V6.1	12	12	24
Pp1s159_143V6.1	5	19	24
Pp1s17_363V6.1	19	5	24
Pp1s197_46V6.1	11	13	24
Pp1s229_36V6.1	12	12	24
Pp1s241_54V6.1	10	14	24
Pp1s33_311V6.1	5	19	24
Pp1s340_26V6.1	10	14	24
Pp1s383_1V6.1	24		24
Pp1s4_13V6.1	6	18	24
Pp1s475_2V6.1	23	1	24
Pp1s51_261V6.1	13	11	24
Pp1s517_11V6.2	9	15	24
Pp1s58_143V6.1	24		24
Pp1s65_267V6.1	8	16	24
Pp1s68_75V6.1	10	14	24
Pp1s8_116V6.1	19	5	24
Pp1s8_140V6.1	8	16	24
Pp1s93_184V6.1	12	12	24
Pp1s125_61V6.1	13	10	23
Pp1s167_52V6.2	20	3	23
Pp1s194_17V6.1	18	5	23
Pp1s201_84V6.1	8	15	23
Pp1s253_37V6.1	23		23
Pp1s273_60V6.1	7	16	23
Pp1s28_268V6.1	9	14	23
Pp1s31_182V6.1	20	3	23
Pp1s317_45V6.1	11	12	23
Pp1s367_8V6.1	11	12	23
Pp1s382_17V6.1	14	9	23
Pp1s386_29V6.1	15	8	23
Pp1s39_120V6.1	17	6	23
Pp1s403_11V6.1	19	4	23
Pp1s43_32V6.1	8	15	23
Pp1s536_10V6.1	13	10	23
Pp1s54_32V6.1	20	3	23
Pp1s6_11V6.1	21	2	23
Pp1s6_208V6.1	22	1	23
Pp1s61_124V6.1	10	13	23
Pp1s7_15V6.1	8	15	23
Pp1s79_157V6.1	23		23
Pp1s81_230V6.1	10	13	23
Pp1s91_24V6.1	5	18	23
Pp1s99_109V6.1	17	6	23
Pp1s101_240V6.1	10	12	22
Pp1s118_101V6.1	9	13	22
Pp1s160_136V6.1	8	14	22
Pp1s192_62V6.1	7	15	22
Pp1s236_34V6.1	9	13	22
Pp1s30_179V6.1	10	12	22
Pp1s368_36V6.1	8	14	22
Pp1s461_15V6.1	22		22
Pp1s52_214V6.1	15	7	22
Pp1s54_291V6.1	8	14	22
Pp1s54_77V6.1	10	12	22
Pp1s61_267V6.1	9	13	22
Pp1s63_95V6.2	12	10	22
Pp1s8_282V6.1	12	10	22
Pp1s94_157V6.1	8	14	22
Pp1s10_47V6.1	12	9	21
Pp1s135_34V6.1	21		21
Pp1s179_68V6.1	21		21
Pp1s2_788V6.1	17	4	21
Pp1s229_29V6.1	11	10	21
Pp1s246_57V6.1	18	3	21
Pp1s259_23V6.1	8	13	21
Pp1s271_98V6.1	21		21
Pp1s283_72V6.1	21		21
Pp1s302_11V6.1	9	12	21
Pp1s309_83V6.1	16	5	21
Pp1s38_289V6.1	16	5	21
Pp1s39_82V6.1	21		21
Pp1s398_15V6.1	8	13	21
Pp1s45_212V6.1	8	13	21
Pp1s450_1V6.1	4	17	21
Pp1s46_147V6.1	21		21
Pp1s56_26V6.1	16	5	21
Pp1s7_56V6.2	7	14	21
Pp1s72_288V6.1	15	6	21
Pp1s74_253V6.1	14	7	21
sp|Q6YXK8|RR3_PHYPA	15	6	21
Pp1s102_181V6.1	4	16	20
Pp1s110_47V6.1	18	2	20
Pp1s13_21V6.1	3	17	20
Pp1s131_6V6.1	10	10	20
Pp1s15_390V6.1	20		20
Pp1s156_109V6.1	14	6	20
Pp1s160_96V6.1	20		20
Pp1s189_77V6.2	6	14	20
Pp1s210_105V6.1	9	11	20
Pp1s212_78V6.1	15	5	20
Pp1s215_36V6.1	20		20
Pp1s217_29V6.1	7	13	20
Pp1s242_42V6.1	6	14	20
Pp1s262_91V6.1	20		20
Pp1s281_7V6.1	20		20
Pp1s340_20V6.1	7	13	20
Pp1s355_65V6.1	16	4	20
Pp1s40_15V6.1	6	14	20
Pp1s475_26V6.1	11	9	20
Pp1s5_195V6.1	11	9	20
Pp1s61_279V6.1	20		20
Pp1s75_252V6.1	8	12	20
Pp1s80_23V6.1	12	8	20
Pp1s86_206V6.1	11	9	20
Pp1s89_220V6.1	9	11	20
Pp1s104_88V6.1	8	11	19
Pp1s130_227V6.1	13	6	19
Pp1s14_179V6.2	11	8	19
Pp1s195_11V6.1	18	1	19
Pp1s21_61V6.1	8	11	19
Pp1s212_34V6.1	14	5	19
Pp1s258_80V6.1	8	11	19
Pp1s270_28V6.1	4	15	19
Pp1s31_253V6.1	10	9	19
Pp1s32_198V6.1	8	11	19
Pp1s392_46V6.1	4	15	19
Pp1s429_7V6.1	7	12	19
Pp1s6_146V6.1	7	12	19
Pp1s74_140V6.1	19		19
Pp1s91_243V6.1	19		19
Pp1s93_165V6.1	11	8	19
REV_Pp1s199_73V6.1	12	7	19
Pp1s14_433V6.1	18		18
Pp1s144_8V6.1	18		18
Pp1s15_328V6.1	18		18
Pp1s169_133V6.1	7	11	18
Pp1s17_86V6.1	10	8	18
Pp1s173_129V6.1	18		18
Pp1s22_276V6.1	15	3	18
Pp1s268_77V6.1	14	4	18
Pp1s31_225V6.1	18		18
Pp1s354_37V6.1	6	12	18
Pp1s359_29V6.1	3	15	18
Pp1s44_263V6.1	12	6	18
Pp1s49_242V6.1	18		18
Pp1s534_6V6.1	15	3	18
Pp1s67_59V6.1	8	10	18
Pp1s83_69V6.1	18		18
Pp1s100_117V6.1	14	3	17
Pp1s101_8V6.1	17		17
Pp1s108_25V6.1	17		17
Pp1s115_101V6.1	17		17
Pp1s130_293V6.1	6	11	17
Pp1s137_140V6.1	7	10	17
Pp1s138_81V6.1	17		17
Pp1s152_82V6.1	17		17
Pp1s153_103V6.1	14	3	17
Pp1s165_30V6.1	13	4	17
Pp1s165_39V6.1	17		17
Pp1s174_60V6.1	7	10	17
Pp1s183_17V6.1	17		17
Pp1s191_1V6.1	15	2	17
Pp1s191_76V6.1	8	9	17
Pp1s199_129V6.1	10	7	17
Pp1s20_66V6.1	14	3	17
Pp1s212_59V6.1	6	11	17
Pp1s212_61V6.1	9	8	17
Pp1s22_320V6.1	3	14	17
Pp1s22_94V6.1	17		17
Pp1s252_67V6.1	17		17
Pp1s28_391V6.1	15	2	17
Pp1s280_13V6.1	3	14	17
Pp1s281_110V6.1	9	8	17
Pp1s30_195V6.1	3	14	17
Pp1s34_83V6.1	5	12	17
Pp1s36_299V6.1	6	11	17
Pp1s36_358V6.1	7	10	17
Pp1s545_14V6.1	12	5	17
Pp1s64_7V6.1	9	8	17
Pp1s66_138V6.1	15	2	17
Pp1s7_222V6.2	7	10	17
Pp1s87_117V6.1	6	11	17
Pp1s93_67V6.1	3	14	17
sp|Q6YXP3|RR4_PHYPA	16	1	17
Pp1s100_191V6.1	8	8	16
Pp1s103_80V6.1	7	9	16
Pp1s115_12V6.1	6	10	16
Pp1s125_16V6.1	14	2	16
Pp1s139_98V6.1	11	5	16
Pp1s150_45V6.1	8	8	16
Pp1s164_16V6.2	16		16
Pp1s181_106V6.2	13	3	16
Pp1s2_377V6.1	6	10	16
Pp1s201_115V6.1	7	9	16
Pp1s223_127V6.1	15	1	16
Pp1s23_273V6.1	7	9	16
Pp1s235_87V6.1	16		16
Pp1s250_25V6.1	11	5	16
Pp1s276_97V6.1	8	8	16
Pp1s28_238V6.1	16		16
Pp1s31_110V6.1	12	4	16
Pp1s32_334V6.1	6	10	16
Pp1s352_50V6.1	16		16
Pp1s356_44V6.1	15	1	16
Pp1s37_63V6.1	14	2	16
Pp1s38_177V6.1	16		16
Pp1s389_5V6.1	5	11	16
Pp1s49_210V6.1	13	3	16
Pp1s50_49V6.1	16		16
Pp1s54_189V6.1	3	13	16
Pp1s74_26V6.1	3	13	16
Pp1s76_105V6.1	9	7	16
Pp1s79_8V6.2	11	5	16
Pp1s93_12V6.1	8	8	16
sp|Q6YXL2|IF1C_PHYPA	6	10	16
Pp1s101_82V6.1	15		15
Pp1s107_1V6.1	4	11	15
Pp1s11_3V6.1	5	10	15
Pp1s114_66V6.1	9	6	15
Pp1s126_186V6.1	2	13	15
Pp1s132_52V6.1	14	1	15
Pp1s14_180V6.1	6	9	15
Pp1s15_311V6.1	15		15
Pp1s15_447V6.1	15		15
Pp1s156_88V6.1	9	6	15
Pp1s197_92V6.1	15		15
Pp1s21_140V6.1	8	7	15
Pp1s210_98V6.1	9	6	15
Pp1s243_26V6.1	7	8	15
Pp1s26_173V6.1	15		15
Pp1s260_17V6.1	7	8	15
Pp1s28_172V6.1	15		15
Pp1s32_201V6.1	11	4	15
Pp1s324_48V6.1	13	2	15
Pp1s35_261V6.1	13	2	15
Pp1s365_36V6.1	5	10	15
Pp1s43_137V6.1	15		15
Pp1s44_58V6.1	15		15
Pp1s50_92V6.1	4	11	15
Pp1s62_200V6.1	13	2	15
Pp1s65_271V6.1	15		15
Pp1s69_29V6.1	8	7	15
Pp1s76_48V6.1	15		15
Pp1s81_135V6.1	5	10	15
Pp1s84_6V6.1	5	10	15
Pp1s9_38V6.1	11	4	15
Pp1s10_57V6.1	5	9	14
Pp1s104_128V6.1	14		14
Pp1s106_167V6.1	14		14
Pp1s108_26V6.1	7	7	14
Pp1s12_85V6.1	3	11	14
Pp1s13_171V6.1	14		14
Pp1s13_387V6.1	8	6	14
Pp1s133_65V6.1	9	5	14
Pp1s137_81V6.1	5	9	14
Pp1s143_167V6.1	6	8	14
Pp1s154_6V6.1	10	4	14
Pp1s16_179V6.1	8	6	14
Pp1s162_162V6.1	12	2	14
Pp1s162_64V6.1	6	8	14
Pp1s171_148V6.1	14		14
Pp1s172_22V6.1	14		14
Pp1s183_47V6.1	6	8	14
Pp1s19_202V6.1	9	5	14
Pp1s199_33V6.1	5	9	14
Pp1s2_275V6.1	9	5	14
Pp1s207_101V6.1	4	10	14
Pp1s223_15V6.1	6	8	14
Pp1s227_85V6.1	14		14
Pp1s242_95V6.1	3	11	14
Pp1s268_3V6.1	7	7	14
Pp1s275_36V6.1	6	8	14
Pp1s28_354V6.1	14		14
Pp1s318_21V6.1	10	4	14
Pp1s409_34V6.1	13	1	14
Pp1s5_345V6.1	14		14
Pp1s535_3V6.1	14		14
Pp1s78_205V6.1	13	1	14
Pp1s82_6V6.1	14		14
Pp1s83_80V6.1	14		14
Pp1s9_113V6.1	10	4	14
Pp1s9_334V6.1	14		14
Pp1s97_12V6.1	7	7	14
REV_Pp1s122_66V6.2	4	10	14
tr|A9RCH7|A9RCH7_PHYPA	7	7	14
Pp1s100_87V6.1	4	9	13
Pp1s107_10V6.1		13	13
Pp1s11_243V6.1	13		13
Pp1s11_275V6.1	8	5	13
Pp1s111_8V6.1	8	5	13
Pp1s127_74V6.1	13		13
Pp1s13_410V6.1	13		13
Pp1s13_462V6.1	5	8	13
Pp1s138_36V6.1	13		13
Pp1s2_734V6.1	13		13
Pp1s206_126V6.1	13		13
Pp1s21_13V6.1	8	5	13
Pp1s213_121V6.1	9	4	13
Pp1s213_48V6.1	4	9	13
Pp1s218_19V6.1	13		13
Pp1s252_2V6.1	13		13
Pp1s279_72V6.1	7	6	13
Pp1s3_467V6.1	9	4	13
Pp1s31_124V6.1	5	8	13
Pp1s336_16V6.1	4	9	13
Pp1s346_35V6.1	11	2	13
Pp1s354_15V6.1	6	7	13
Pp1s359_26V6.1	9	4	13
Pp1s367_9V6.1	7	6	13
Pp1s37_53V6.1	13		13
Pp1s4_235V6.1	5	8	13
Pp1s465_18V6.1	3	10	13
Pp1s47_171V6.1	6	7	13
Pp1s47_183V6.1	3	10	13
Pp1s486_10V6.1	4	9	13
Pp1s59_293V6.1	13		13
Pp1s71_207V6.1	13		13
Pp1s73_243V6.1	4	9	13
Pp1s74_237V6.1	11	2	13
Pp1s8_196V6.1	13		13
Pp1s84_186V6.1	13		13
sp|Q6YXK0|ATPI_PHYPA	13	0	13
Pp1s106_16V6.1	2	10	12
Pp1s117_154V6.1	12		12
Pp1s12_74V6.1	12		12
Pp1s123_136V6.2	12		12
Pp1s134_54V6.1	5	7	12
Pp1s14_2V6.1	12		12
Pp1s143_174V6.1	7	5	12
Pp1s144_138V6.1	12		12
Pp1s156_171V6.1	7	5	12
Pp1s158_12V6.1	12		12
Pp1s163_26V6.1	3	9	12
Pp1s173_103V6.1	1	11	12
Pp1s190_8V6.1	5	7	12
Pp1s2_392V6.1	4	8	12
Pp1s20_358V6.1	7	5	12
Pp1s200_12V6.1	12		12
Pp1s207_10V6.2	6	6	12
Pp1s208_169V6.1	9	3	12
Pp1s22_325V6.1	8	4	12
Pp1s235_42V6.1	9	3	12
Pp1s239_32V6.1	12		12
Pp1s246_109V6.1	8	4	12
Pp1s27_81V6.1	12		12
Pp1s29_38V6.1		12	12
Pp1s30_182V6.1	5	7	12
Pp1s334_84V6.1	12		12
Pp1s341_58V6.1	12		12
Pp1s343_45V6.1	4	8	12
Pp1s36_321V6.1	5	7	12
Pp1s38_176V6.1	12		12
Pp1s40_14V6.1	7	5	12
Pp1s414_18V6.1	9	3	12
Pp1s42_262V6.1	2	10	12
Pp1s43_49V6.1	5	7	12
Pp1s49_200V6.1	12		12
Pp1s5_366V6.1	12		12
Pp1s54_79V6.1	4	8	12
Pp1s540_8V6.1	10	2	12
Pp1s55_98V6.1	10	2	12
Pp1s62_161V6.1	6	6	12
Pp1s63_61V6.1	4	8	12
Pp1s74_70V6.1	12		12
Pp1s9_103V6.1	7	5	12
Pp1s120_79V6.1	2	9	11
Pp1s130_82V6.1	10	1	11
Pp1s132_26V6.1	9	2	11
Pp1s15_356V6.1	11		11
Pp1s155_1V6.1	2	9	11
Pp1s16_82V6.1	5	6	11
Pp1s162_11V6.1		11	11
Pp1s169_65V6.1	7	4	11
Pp1s17_39V6.1	3	8	11
Pp1s178_66V6.1	9	2	11
Pp1s186_45V6.1	9	2	11
Pp1s191_118V6.1	8	3	11
Pp1s197_93V6.1	4	7	11
Pp1s213_47V6.1	9	2	11
Pp1s214_34V6.1	11		11
Pp1s222_97V6.1	8	3	11
Pp1s223_59V6.1	6	5	11
Pp1s227_122V6.1	11		11
Pp1s230_50V6.1	11		11
Pp1s233_94V6.1	11		11
Pp1s259_112V6.1	11		11
Pp1s26_117V6.1	6	5	11
Pp1s27_140V6.1	4	7	11
Pp1s332_37V6.1	8	3	11
Pp1s333_30V6.1	11		11
Pp1s336_47V6.1	3	8	11
Pp1s34_150V6.1	1	10	11
Pp1s37_247V6.1	11		11
Pp1s38_198V6.1	4	7	11
Pp1s48_51V6.1	11		11
Pp1s51_217V6.1	2	9	11
Pp1s52_257V6.1	5	6	11
Pp1s55_261V6.1	8	3	11
Pp1s59_122V6.1	11		11
Pp1s6_129V6.1	11		11
Pp1s67_237V6.1	11		11
Pp1s68_9V6.1	5	6	11
Pp1s74_226V6.1	4	7	11
Pp1s82_98V6.1	3	8	11
Pp1s83_6V6.1	4	7	11
Pp1s86_24V6.1	11		11
Pp1s9_92V6.1	4	7	11
Pp1s94_106V6.1	6	5	11
Pp1s98_2V6.1	10	1	11
sp|Q6YXJ8|RR11_PHYPA	9	2	11
sp|Q6YXK5|RK23_PHYPA	9	2	11
tr|A9SZI7|A9SZI7_PHYPA	7	4	11
tr|A9TWI6|A9TWI6_PHYPA	10	1	11
Pp1s100_61V6.1	3	7	10
Pp1s101_225V6.1	10		10
Pp1s11_305V6.1	3	7	10
Pp1s118_165V6.1	5	5	10
Pp1s121_54V6.1	9	1	10
Pp1s133_102V6.1	7	3	10
Pp1s136_120V6.1	3	7	10
Pp1s137_96V6.1	10		10
Pp1s147_151V6.1		10	10
Pp1s149_6V6.1	8	2	10
Pp1s15_29V6.1	10		10
Pp1s152_173V6.1	6	4	10
Pp1s153_184V6.2	10		10
Pp1s161_16V6.1	3	7	10
Pp1s173_123V6.1	3	7	10
Pp1s199_8V6.1	10		10
Pp1s207_94V6.1	10		10
Pp1s22_251V6.1	10		10
Pp1s221_85V6.1	10		10
Pp1s242_93V6.2	4	6	10
Pp1s266_19V6.1	3	7	10
Pp1s272_34V6.1	6	4	10
Pp1s286_50V6.1	10		10
Pp1s298_4V6.1	10		10
Pp1s309_65V6.1	10		10
Pp1s31_202V6.1	10		10
Pp1s323_82V6.3	10		10
Pp1s326_66V6.1	2	8	10
Pp1s35_384V6.1	10		10
Pp1s351_21V6.1	10		10
Pp1s36_33V6.1	2	8	10
Pp1s364_3V6.1	10		10
Pp1s399_34V6.1	6	4	10
Pp1s40_10V6.1	3	7	10
Pp1s400_36V6.1	10		10
Pp1s415_6V6.1	9	1	10
Pp1s419_39V6.1	10		10
Pp1s42_100V6.1	10		10
Pp1s44_124V6.1	10		10
Pp1s447_19V6.1	2	8	10
Pp1s45_96V6.1	8	2	10
Pp1s47_217V6.1	4	6	10
Pp1s527_3V6.1	10		10
Pp1s54_52V6.1	8	2	10
Pp1s545_8V6.1	10		10
Pp1s56_222V6.1	2	8	10
Pp1s59_249V6.1	10		10
Pp1s61_55V6.1	7	3	10
Pp1s651_2V6.1	10		10
Pp1s7_343V6.1	3	7	10
Pp1s75_5V6.1	3	7	10
Pp1s89_183V6.1	10		10
Pp1s96_216V6.1	10		10
REV_Pp1s147_106V6.1	8	2	10
sp|P60283|RPOB_PHYPA	10		10
sp|Q6YXQ5|RK21_PHYPA	7	3	10
tr|A9RJG0|A9RJG0_PHYPA	6	4	10
tr|Q1XGA2|Q1XGA2_PHYPA	7	3	10
Pp1s1_207V6.1	8	1	9
Pp1s10_190V6.1	9		9
Pp1s106_212V6.1	3	6	9
Pp1s11_225V6.1	6	3	9
Pp1s11_340V6.1	8	1	9
Pp1s117_86V6.1	5	4	9
Pp1s118_113V6.1	6	3	9
Pp1s118_39V6.1	9		9
Pp1s134_167V6.1	9		9
Pp1s137_134V6.1	8	1	9
Pp1s139_105V6.1	9		9
Pp1s14_134V6.1	8	1	9
Pp1s14_169V6.1	3	6	9
Pp1s142_106V6.1	5	4	9
Pp1s144_137V6.1	5	4	9
Pp1s144_93V6.1	7	2	9
Pp1s15_226V6.1	9		9
Pp1s152_156V6.1	4	5	9
Pp1s154_131V6.1	9		9
Pp1s156_153V6.1	8	1	9
Pp1s163_113V6.1	3	6	9
Pp1s169_68V6.1	6	3	9
Pp1s21_269V6.1	9		9
Pp1s217_70V6.1	4	5	9
Pp1s22_263V6.1	9		9
Pp1s22_4V6.1	9		9
Pp1s223_56V6.1	9		9
Pp1s23_44V6.1	3	6	9
Pp1s241_24V6.1	5	4	9
Pp1s260_6V6.1	1	8	9
Pp1s263_35V6.1	8	1	9
Pp1s311_58V6.1	9		9
Pp1s314_34V6.1	9		9
Pp1s33_338V6.1	3	6	9
Pp1s336_61V6.1	9		9
Pp1s343_50V6.1	1	8	9
Pp1s352_14V6.1	4	5	9
Pp1s355_46V6.1	9		9
Pp1s37_111V6.1	6	3	9
Pp1s370_69V6.1	2	7	9
Pp1s391_32V6.1	7	2	9
Pp1s403_21V6.1	3	6	9
Pp1s441_13V6.1	1	8	9
Pp1s49_246V6.1	4	5	9
Pp1s54_161V6.1	4	5	9
Pp1s55_196V6.1	1	8	9
Pp1s59_242V6.1	8	1	9
Pp1s61_1V6.1	9		9
Pp1s619_3V6.1		9	9
Pp1s65_80V6.1	9		9
Pp1s67_154V6.1	7	2	9
Pp1s67_238V6.1	9		9
Pp1s8_168V6.1	3	6	9
Pp1s81_134V6.1	6	3	9
Pp1s86_186V6.1	9		9
Pp1s89_131V6.1	8	1	9
Pp1s93_136V6.1	9		9
Pp1s97_112V6.1	9		9
REV_Pp1s108_5V6.1	5	4	9
REV_Pp1s276_79V6.1	8	1	9
REV_Pp1s386_26V6.1	7	2	9
REV_tr|A9TEM5|A9TEM5_PHYPA	9		9
sp|P60407|RK2_PHYPA	9		9
