accession	annotator_id	csid	date	value	source
Pp1s184_99V6.1	oesterle	330	2012-09-19 21:56:31	AAH	
Pp1s36_325v6.1	oesterle	329	2012-09-19 21:54:51	BOP2	
Pp1s28_209v6.1	oesterle	329	2012-09-19 21:53:18	BOP1	
Pp1s174_120V6.1	oesterle	327	2012-09-19 21:39:15	MYO8E	
Pp1s17_368V6.1	oesterle	327	2012-09-19 21:38:24	MYO8D	
Pp1s199_21V6.1	oesterle	327	2012-09-19 21:37:11	MYO8C	
Pp1s104_215V6.1	oesterle	327	2012-09-19 21:36:17	MYO8B	
Pp1s228_18V6.1	oesterle	327	2012-09-19 21:35:04	MYO8A	
Pp1s31_309V6.1	oesterle	283	2012-09-19 21:33:18	PIPK2	
Pp1s311_23V6.1	oesterle	283	2012-09-19 21:07:47	PIPK1	
Pp1s27_207V6.1	oesterle	322	2012-08-24 17:39:35	PRFc	
Pp1s328_44V6.1	oesterle	322	2012-08-24 17:37:44	PRFb	
Pp1s3_119V6.1	lang		2012-08-22 11:09:24	XFB2	
Pp1s12_347V6.2	oesterle	323	2012-08-22 10:50:55	XFB1	
Pp1s12_347V6.2	oesterle	324	2012-08-22 10:50:55	XFB1	
Pp1s217_71V6.1	oesterle	268	2012-08-12 20:51:02	ADF	
Pp1s3_191V6.3	oesterle	322	2012-08-12 19:40:36	PRFa	
Pp1s246_61V6.1	oesterle	321	2012-08-12 19:36:26	GNT1	
Pp1s14_257V6.1	oesterle	313	2012-08-06 10:59:08	Aug2	
Pp1s105_58V6.1	oesterle	313	2012-08-06 10:58:27	Aug4	
Pp1s420_4V6.1	oesterle	320	2012-08-02 11:27:16	Pp2	
Pp1s389_40V6.1	oesterle	320	2012-08-02 11:26:19	Pp1	
Pp1s44_198V6.1	oesterle	294	2012-07-20 19:58:45	AFB2	
Pp1s184_21V6.1	oesterle	294	2012-07-20 19:22:09	IAA1b	
Pp1s122_153V6.1	zimmer	318	2012-07-18 12:50:14	PHO1-7	
Pp1s74_74V6.1	zimmer	318	2012-07-18 12:49:01	PHO1-6	
Pp1s20_162V6.1	zimmer	318	2012-07-18 12:48:01	PHO1-5	
Pp1s9_336V6.1	zimmer	318	2012-07-18 12:46:50	PHO1-4	
Pp1s247_14V6.1	zimmer	318	2012-07-18 12:45:28	PHO1-3	
Pp1s49_134V6.1	zimmer	318	2012-07-18 12:44:25	PHO1-2	
Pp1s353_59V6.1	zimmer	318	2012-07-18 12:42:39	PHO1-1	
Pp1s7_115V6.1	oesterle	317	2012-07-13 13:55:50	ABI3A	
Pp1s173_143V6.1	oesterle	317	2012-07-13 13:54:50	ABI3B	
Pp1s143_82V6.1	oesterle	317	2012-07-13 13:53:43	ABI3C	
Pp1s144_25V6.1	oesterle	312	2012-06-11 13:00:45	CRL3	
Pp1s160_137V6.1	oesterle	315	2012-06-11 11:41:23	SiR1	
Pp1s14_318V6.2	zimmer	314	2012-05-16 11:19:26	MCB1	
Pp1s34_188V6.1	oesterle	313	2012-05-02 17:04:00	GCP4	
Pp1s64_208V6.1	oesterle	312	2012-04-29 14:32:17	CRL2	
Pp1s103_92V6.1	oesterle	312	2012-04-29 14:25:12	CRL1	
Pp1s134_179V6.1	oesterle	311	2012-04-29 13:52:22	HAK13	
Pp1s431_27V6.1	zimmer	310	2012-04-24 16:10:00	HB2	
Pp1s67_243V6.1	oesterle	309	2012-04-13 12:23:54	GH3-2	
Pp1s323_82V6.3	oesterle	309	2012-04-13 12:22:18	GH3-1	
Pp1s339_42V6.1	lang		2012-03-14 17:10:04	ARF3-2b	
Pp1s339_47V6.1	lang		2012-03-14 17:08:55	ARF3-2a	
Pp1s279_9V6.1	lang		2012-03-14 17:07:37	ARF3-1	
Pp1s392_2V6.1	oesterle	308	2012-03-13 17:01:31	Dof1	
Pp1s149_180V6.1	oesterle	308	2012-03-13 16:59:08	Dof2	
Pp1s273_60V6.1	oesterle	307	2012-03-09 11:24:42	CGE2	
Pp1s115_168V6.1	oesterle	307	2012-03-09 11:22:02	HSP70-2	
Pp1s372_19V6.1	oesterle	307	2012-03-09 11:16:59	CGE1	
Pp1s14_204V6.1	oesterle	261	2012-03-09 08:41:18	MraY	
Pp1s169_65V6.1	oesterle	179	2012-03-02 16:33:18	RpoA1	
Pp1s281_123V6.1	oesterle	306	2012-03-02 12:10:32	TSPO1	
Pp1s4_452V6.1	oesterle	305	2012-03-01 16:53:38	SKI2	
Pp1s412_17V6.1	oesterle	304	2012-03-01 16:00:05	RECA2	
Pp1s98_157V6.2	oesterle	304	2012-03-01 15:57:19	RECA1	
Pp1s98_157V6.2	oesterle	348	2012-03-01 15:57:19	RECA1	
Pp1s31_317V6.1	oesterle	303	2012-02-24 11:53:41	GLK2	
Pp1s31_317V6.1	oesterle	343	2012-02-24 11:53:41	GLK2	
Pp1s311_30V6.1	oesterle	303	2012-02-24 11:51:56	GLK1	
Pp1s311_30V6.1	oesterle	343	2012-02-24 11:51:56	GLK1	
Pp1s17_54V6.2	oesterle	302	2012-02-24 11:47:05	ARPC1	
Pp1s143_12V6.1	oesterle	301	2012-02-24 11:43:08	AGP1	
Pp1s211_95V6.1	oesterle	300	2012-02-24 11:40:53	DHNA	
Pp1s114_124V6.1	oesterle	299	2012-02-24 11:35:27	APT	
Pp1s28_12V6.1	oesterle	297	2012-02-15 16:24:48	SNF1a	
Pp1s7_365V6.1	oesterle	297	2012-02-15 16:22:44	SNF1b	
Pp1s217_11V6.2	zimmer	293	2012-02-13 13:09:54	PDK1	
Pp1s407_48V6.1	oesterle	292	2012-02-10 11:08:56	PDI-M	
Pp1s39_223V6.2	oesterle	292	2012-02-10 11:05:16	PDI-H	
Pp1s249_62V6.1	zimmer	294	2012-02-10 08:44:46	DGT	
Pp1s150_58V6.4	oesterle	290	2012-02-02 10:26:03	TON1	
Pp1s150_58V6.2	zimmer	290	2012-02-02 09:51:23	TONNEAU1	
Pp1s34_181V6.1	zimmer	288	2012-01-23 14:10:17	KINID1a	
Pp1s65_79V6.1	zimmer	288	2012-01-23 14:09:33	KINID1b	
Pp1s18_148V6.1	zimmer	287	2012-01-23 10:41:29	ALDH23a	
Pp1s111_161V6.1	zimmer	287	2012-01-23 10:36:36	ALDH21a	
Pp1s41_177V6.1	zimmer	287	2012-01-23 10:17:46	ALDH12a	
Pp1s148_154V6.1	zimmer	287	2012-01-23 10:16:11	ALDH11e	
Pp1s10_228V6.1	zimmer	287	2012-01-23 10:15:31	ALDH11d	
Pp1s44_64V6.1	zimmer	287	2012-01-23 10:10:05	ALDH11c	
Pp1s16_156V6.1	zimmer	287	2012-01-23 10:08:24	ALDH11b	
Pp1s73_32V6.1	zimmer	287	2012-01-23 10:05:12	ALDH11a	
Pp1s23_38V6.1	zimmer	287	2012-01-23 09:53:51	ALDH10a	
Pp1s237_29V6.1	zimmer	287	2012-01-23 09:44:12	ALDH7a	
Pp1s27_198V6.1	zimmer	287	2012-01-23 09:43:20	ALDH6a	
Pp1s279_72V6.1	zimmer	287	2012-01-23 09:37:59	ALDH5a	
Pp1s272_3V6.1	zimmer	287	2012-01-23 09:36:31	ALDH3e	
Pp1s496_1V6.1	zimmer	287	2012-01-23 09:21:44	ALDH2b	
Pp1s93_81V6.1	zimmer	287	2012-01-23 09:21:18	ALDH2a	
Pp1s71_128V6.1	zimmer	287	2012-01-23 09:20:44	ALDH3a	
Pp1s26_253V6.1	zimmer	287	2012-01-23 09:19:42	ALDH3b	
Pp1s90_226V6.1	zimmer	287	2012-01-23 09:18:43	ALDH3d	
Pp1s124_90V6.1	zimmer	287	2012-01-23 09:16:51	ALDH3c	
Pp1s20_292V6.1	zimmer	285	2012-01-19 16:33:46	CHSpg2	
Pp1s463_7V6.1	zimmer	285	2012-01-19 16:31:11	CHSpg1	
Pp1s25_362V6.1	zimmer	285	2012-01-19 16:29:30	CHS8	
Pp1s34_206V6.1	zimmer	285	2012-01-19 16:03:33	CHS11	
Pp1s304_59V6.1	zimmer	285	2012-01-19 15:58:20	CHS10	
Pp1s25_363V6.1	zimmer	285	2012-01-19 15:56:38	CHS9	
Pp1s425_8V6.1	zimmer	285	2012-01-19 15:55:10	CHS7	
Pp1s228_25V6.1	zimmer	285	2012-01-19 15:53:18	CHS6	
Pp1s365_24V6.1	zimmer	285	2012-01-19 15:50:52	CHS5.2	
Pp1s365_22V6.1	zimmer	285	2012-01-19 15:48:18	CHS5.1	
