accession	annotator_id	csid	date	value	source
PhpapaCp037	cosmoss		2010-09-08 20:09:45	RPS4	gb|NC_005087
PhpapaCp038	cosmoss		2010-09-08 20:09:45	YCF3	gb|NC_005087
PhpapaCp039	cosmoss		2010-09-08 20:09:45	PSAA	gb|NC_005087
PhpapaCp040	cosmoss		2010-09-08 20:09:45	PSAB	gb|NC_005087
PhpapaCp041	cosmoss		2010-09-08 20:09:45	RPS14	gb|NC_005087
PhpapaCp042	cosmoss		2010-09-08 20:09:45	PSBZ	gb|NC_005087
PhpapaCp043	cosmoss		2010-09-08 20:09:45	PSBC	gb|NC_005087
PhpapaCp044	cosmoss		2010-09-08 20:09:45	PSBD	gb|NC_005087
PhpapaCp045	cosmoss		2010-09-08 20:09:45	YCF2	gb|NC_005087
PhpapaCp046	cosmoss		2010-09-08 20:09:45	PSBA	gb|NC_005087
PhpapaCp047	cosmoss		2010-09-08 20:09:45	MATK	gb|NC_005087
PhpapaCp048	cosmoss		2010-09-08 20:09:45	CHLB	gb|NC_005087
PhpapaCp049	cosmoss		2010-09-08 20:09:45	PSBK	gb|NC_005087
PhpapaCp050	cosmoss		2010-09-08 20:09:45	PSBI	gb|NC_005087
PhpapaCp051	cosmoss		2010-09-08 20:09:45	PSAM	gb|NC_005087
PhpapaCp052	cosmoss		2010-09-08 20:09:45	YCF12	gb|NC_005087
PhpapaCp053	cosmoss		2010-09-08 20:09:45	ATPA	gb|NC_005087
PhpapaCp054	cosmoss		2010-09-08 20:09:45	ATPF	gb|NC_005087
PhpapaCp055	cosmoss		2010-09-08 20:09:45	ATPH	gb|NC_005087
PhpapaCp056	cosmoss		2010-09-08 20:09:45	ATPI	gb|NC_005087
PhpapaCp057	cosmoss		2010-09-08 20:09:45	RPS2	gb|NC_005087
PhpapaCp058	cosmoss		2010-09-08 20:09:45	RPOC2	gb|NC_005087
PhpapaCp059	cosmoss		2010-09-08 20:09:45	RPOC1	gb|NC_005087
PhpapaCp060	cosmoss		2010-09-08 20:09:45	RPOB	gb|NC_005087
PhpapaCp061	cosmoss		2010-09-08 20:09:45	RPS11	gb|NC_005087
PhpapaCp062	cosmoss		2010-09-08 20:09:45	RPL36	gb|NC_005087
PhpapaCp063	cosmoss		2010-09-08 20:09:45	INFA	gb|NC_005087
PhpapaCp064	cosmoss		2010-09-08 20:09:45	RPS8	gb|NC_005087
PhpapaCp065	cosmoss		2010-09-08 20:09:45	RPL14	gb|NC_005087
PhpapaCp066	cosmoss		2010-09-08 20:09:45	RPL16	gb|NC_005087
PhpapaCp067	cosmoss		2010-09-08 20:09:45	RPS3	gb|NC_005087
PhpapaCp068	cosmoss		2010-09-08 20:09:45	RPL22	gb|NC_005087
PhpapaCp069	cosmoss		2010-09-08 20:09:45	RPS19	gb|NC_005087
PhpapaCp070	cosmoss		2010-09-08 20:09:45	RPL2	gb|NC_005087
PhpapaCp071	cosmoss		2010-09-08 20:09:45	RPL23	gb|NC_005087
PhpapaCp072	cosmoss		2010-09-08 20:09:45	NDHF	gb|NC_005087
PhpapaCp073	cosmoss		2010-09-08 20:09:45	RPL21	gb|NC_005087
PhpapaCp074	cosmoss		2010-09-08 20:09:45	RPL32	gb|NC_005087
PhpapaCp075	cosmoss		2010-09-08 20:09:45	NDHD	gb|NC_005087
PhpapaCp076	cosmoss		2010-09-08 20:09:45	PSAC	gb|NC_005087
PhpapaCp077	cosmoss		2010-09-08 20:09:45	NDHE	gb|NC_005087
PhpapaCp078	cosmoss		2010-09-08 20:09:45	NDHG	gb|NC_005087
PhpapaCp079	cosmoss		2010-09-08 20:09:45	NDHI	gb|NC_005087
PhpapaCp080	cosmoss		2010-09-08 20:09:45	NDHA	gb|NC_005087
PhpapaCp081	cosmoss		2010-09-08 20:09:45	NDHH	gb|NC_005087
PhpapaCp082	cosmoss		2010-09-08 20:09:45	RPS15	gb|NC_005087
PhpapaCp083	cosmoss		2010-09-08 20:09:45	YCF1	gb|NC_005087
PhpapaCp084	cosmoss		2010-09-08 20:09:45	CHLN	gb|NC_005087
PhpapaCp085	cosmoss		2010-09-08 20:09:45	CHLL	gb|NC_005087
Pp1s9_40V6.1	student	166	2010-08-17 16:13:51	MinE1a	cosmoss|V1.2-5_mapping_Phypa_424497
Pp1s30_291V6.1	student	166	2010-08-17 15:38:12	MinD1	cosmoss|V1.2-5_mapping_Phypa_429557
Pp1s359_10V6.1	student	134	2010-08-17 13:10:23	NTMC2Type3.1	cosmoss|V1.2-5_mapping_Phypa_458712
Pp1s16_213V6.1	student	134	2010-08-17 13:08:25	NTMC2Type1.1	cosmoss|V1.2-5_mapping_Phypa_426600
Pp1s9_391V6.1	student	134	2010-08-17 13:07:47	NTMC2Type1.2	cosmoss|V1.2-5_mapping_Phypa_424658
Pp1s198_154V6.1	student	207	2010-08-13 14:15:22	Act7	cosmoss|V1.2-5_mapping_Phypa_220700
Pp1s198_154V6.2	student	207	2010-08-13 14:15:22	Act7	cosmoss|V1.2-5_mapping_Phypa_220700
Pp1s198_154V6.3	student	207	2010-08-13 14:15:22	Act7	cosmoss|V1.2-5_mapping_Phypa_220700
Pp1s198_154V6.4	student	207	2010-08-13 14:15:22	Act7	cosmoss|V1.2-5_mapping_Phypa_220700
Pp1s337_21V6.1	student	207	2010-08-13 13:34:22	Act1	cosmoss|V1.2-5_mapping_Phypa_198730
Pp1s337_21V6.2	student	207	2010-08-13 13:34:22	Act1	cosmoss|V1.2-5_mapping_Phypa_198730
Pp1s167_96V6.1	student	181	2010-08-13 13:26:27	4CL4	cosmoss|V1.2-5_mapping_Phypa_140413
Pp1s71_170V6.1	student	181	2010-08-13 13:21:09	4CL3	cosmoss|V1.2-5_mapping_Phypa_233094
Pp1s20_346V6.1	student	181	2010-08-13 12:04:44	4CL2	cosmoss|V1.2-5_mapping_Phypa_104959
Pp1s185_66V6.1	student	181	2010-08-13 11:51:33	4CL1	cosmoss|V1.2-5_mapping_Phypa_89614
Pp1s126_126V6.1	student		2010-07-23 16:06:55	RAC1	cosmoss|V1.2-5_mapping_Phypa_188969
Pp1s126_126V6.2	student		2010-07-23 16:06:55	RAC1	cosmoss|V1.2-5_mapping_Phypa_188969
Pp1s10_72V6.3	student	201	2010-07-14 20:07:21	G1L1	cosmoss|V1.2-5_mapping_Phypa_424946
Pp1s82_6V6.1	student	126	2010-07-14 14:02:26	GLP1a	cosmoss|V1.2-5_mapping_Phypa_438999
Pp1s82_3V6.1	student	126	2010-07-14 13:55:05	GLP1b	cosmoss|V1.2-5_mapping_Phypa_439045
Pp1s12_58V6.1	student	171	2010-07-14 13:45:04	NRT2_5	cosmoss|V1.2-5_mapping_Phypa_425384
Pp1s449_20V6.1	student	171	2010-07-14 13:43:44	NRT2_4	cosmoss|V1.2-5_mapping_Phypa_154919
Pp1s75_75V6.1	student	171	2010-07-14 13:41:59	NRT2_3	cosmoss|V1.2-5_mapping_Phypa_438031
Pp1s82_3V6.2	student	126	2010-07-14 13:39:50	GLP1b	cosmoss|V1.2-5_mapping_Phypa_439044
Pp1s132_47V6.1	student	171	2010-07-14 13:30:53	NAR2_1	cosmoss|V1.2-5_mapping_Phypa_216690
Pp1s17_201V6.1	student	171	2010-07-14 13:28:02	NAR2_2	cosmoss|V1.2-5_mapping_Phypa_426700
Pp1s100_231V6.2	student	195	2010-07-14 13:20:34	NAR2_3	cosmoss|V1.2-5_mapping_Phypa_441450
Pp1s175_16V6.1	student	170	2010-07-14 09:46:57	DELLAa	cosmoss|V1.2-5_mapping_Phypa_448723
Pp1s80_151V6.1	student	179	2010-07-14 03:36:58	RPOA2	cosmoss|V1.2-5_mapping_Phypa_438711
Pp1s279_11V6.2	student	174	2010-07-14 01:39:58	PPR_38b	cosmoss|V1.2-5_mapping_Phypa_455452
Pp1s279_11V6.1	student	174	2010-07-14 01:39:26	PPR_38a	cosmoss|V1.2-5_mapping_Phypa_455451
Pp1s322_17V6.1	student	174	2010-07-14 00:28:18	PPR_20	cosmoss|V1.2-5_mapping_Phypa_457365
Pp1s9_39V6.1	student		2010-07-13 23:50:39	MINE1b	cosmoss|V1.2-5_mapping_Phypa_424578
Pp1s9_39V6.2	student		2010-07-13 23:49:07	MINE1b	cosmoss|V1.2-5_mapping_Phypa_424577
Pp1s364_5V6.1	student		2010-07-13 21:06:24	COL3	cosmoss|V1.2-5_mapping_Phypa_458815
Pp1s97_109V6.1	student		2010-07-13 21:05:13	COL2	cosmoss|V1.2-5_mapping_Phypa_441024
Pp1s371_27V6.1	student	151	2010-07-13 20:58:57	COL1	cosmoss|V1.2-5_mapping_Phypa_459027
Pp1s67_107V6.1	student	147	2010-07-13 20:44:06	C3HDZ2	cosmoss|V1.2-5_mapping_Phypa_436746
Pp1s15_11V6.1	student	147	2010-07-13 20:33:55	C3HDZ1	cosmoss|V1.2-5_mapping_Phypa_426187
Pp1s35_157V6.1	student	143	2010-07-13 20:25:03	BRK1	cosmoss|V1.2-5_mapping_Phypa_431020
Pp1s12_244V6.1	student	170	2010-07-13 20:23:07	DELLAb	cosmoss|V1.2-5_mapping_Phypa_425455
Pp1s154_69V6.1	student	137	2010-07-13 20:20:30	ATPB	cosmoss|V1.2-5_mapping_Phypa_446896
Pp1s97_59V6.1	student	126	2010-07-13 19:34:10	GLP5	cosmoss|V1.2-5_mapping_Phypa_440990
Pp1s156_53V6.1	student	126	2010-07-13 19:25:18	GLP4	cosmoss|V1.2-5_mapping_Phypa_447005
Pp1s68_22V6.1	student	126	2010-07-13 18:50:57	GLP3b	cosmoss|V1.2-5_mapping_Phypa_436954
Pp1s35_216V6.1	student	155	2010-07-13 18:07:37	PUM-1	cosmoss|V1.2-5_mapping_Phypa_206830
Pp1s30_293V6.1	student		2010-07-13 17:16:49	MIND1	cosmoss|V1.2-5_mapping_Phypa_429621
Pp1s52_67V6.1	student	157	2010-07-13 14:49:03	LFY1	cosmoss|V1.2-5_mapping_Phypa_434140
Pp1s55_301V6.2	student	117	2010-07-13 13:51:42	PIP2_2	cosmoss|V1.2-5_mapping_Phypa_434685
Pp1s97_57V6.3	student	126	2010-07-13 13:38:47	GLP7	cosmoss|V1.2-5_mapping_Phypa_441020
Pp1s97_57V6.2	student	126	2010-07-13 13:32:40	GLP7a	cosmoss|V1.2-5_mapping_Phypa_441019
Pp1s97_57V6.1	student	126	2010-07-13 13:29:56	GLP7a	cosmoss|V1.2-5_mapping_Phypa_441018
Pp1s204_69V6.1	student	132	2010-07-11 16:52:47	ARPC4	cosmoss|V1.2-5_mapping_Phypa_450886
Pp1s338_52V6.1	student	126	2010-07-11 16:15:05	GLP6	cosmoss|V1.2-5_mapping_Phypa_457980
Pp1s206_126V6.1	student	126	2010-07-11 00:08:44	GLP2	cosmoss|V1.2-5_mapping_Phypa_451007
Pp1s64_155V6.2	student	121	2010-07-10 20:19:05	DES6	cosmoss|V1.2-5_mapping_Phypa_436176
Pp1s267_61V6.2	student	117	2010-07-10 20:18:09	PIP2_3	cosmoss|V1.2-5_mapping_Phypa_454785
Pp1s8_151V6.1	student	117	2010-07-10 19:21:06	PIP2_1	cosmoss|V1.2-5_mapping_Phypa_202226
Pp1s33_251V6.1	student	113	2010-07-07 20:17:56	EXPA5	cosmoss|V1.2-5_mapping_Phypa_430371
Pp1s277_79V6.1	student	112	2010-07-07 11:20:54	PSE1	cosmoss|V1.2-5_mapping_Phypa_95302
Pp1s325_11V6.1	student	108	2010-07-06 15:03:16	EXPA6	cosmoss|V1.2-5_mapping_Phypa_457494
Pp1s325_11V6.1	student	113	2010-07-06 15:03:16	EXPA6	cosmoss|V1.2-5_mapping_Phypa_457494
Pp1s275_2V6.1	lang	72	2010-06-07 19:55:59	FtsZ1-1	cosmoss|V1.2-5_mapping_Phypa_196781
Pp1s275_2V6.1	lang	366	2010-06-07 19:55:59	FtsZ1-1	cosmoss|V1.2-5_mapping_Phypa_196781
Pp1s87_69V6.1	gustin		2010-05-21 04:10:02	MTP11.2	cosmoss|V1.2-5_mapping_Phypa_439743
Pp1s11_299V6.3	gustin		2010-05-21 04:05:58	MTP11.1	cosmoss|V1.2-5_mapping_Phypa_425143
Pp1s11_299V6.4	gustin		2010-05-10 15:02:01	MTP11.2	cosmoss|V1.2-5_mapping_Phypa_425146
Pp1s119_24V6.1	gustin		2010-05-08 05:39:59	MTP11.1	cosmoss|V1.2-5_mapping_Phypa_58669
Pp1s119_25V6.1	gustin		2010-05-08 05:39:59	MTP11.1	cosmoss|V1.2-5_mapping_Phypa_58669
Pp1s119_25V6.2	gustin		2010-05-08 05:39:59	MTP11.1	cosmoss|V1.2-5_mapping_Phypa_58669
Pp1s31_199V6.1	gustin		2010-05-08 05:04:26	MTP	cosmoss|V1.2-5_mapping_Phypa_429923
Pp1s55_158V6.1	gustin		2010-05-08 04:35:14	MTP8	cosmoss|V1.2-5_mapping_Phypa_434661
Pp1s106_79V6.1	gustin		2010-05-08 04:13:55	MTP8.1	cosmoss|V1.2-5_mapping_Phypa_442185
Pp1s152_49V6.1	gustin		2010-05-08 03:16:10	MTP7	cosmoss|V1.2-5_mapping_Phypa_446750
Pp1s255_26V6.2	gustin		2010-05-08 02:49:16	MTP6.1	cosmoss|V1.2-5_mapping_Phypa_454200
Pp1s95_92V6.1	gustin		2010-05-08 02:48:00	MTP6	cosmoss|V1.2-5_mapping_Phypa_440704
Pp1s20_68V6.1	gustin		2010-05-08 02:47:10	MTP5	cosmoss|V1.2-5_mapping_Phypa_427436
Pp1s478_10V6.1	gustin		2010-05-08 02:46:17	MTP12	cosmoss|V1.2-5_mapping_Phypa_461050
Pp1s30_333V6.1	gustin		2010-05-08 02:44:09	MTP1.1	cosmoss|V1.2-5_mapping_Phypa_429555
Pp1s102_71V6.2	gustin		2010-05-08 02:31:35	MTP1	cosmoss|V1.2-5_mapping_Phypa_441713
Pp1s217_9V6.1	rensing		2010-01-15 14:36:14	WOX3	cosmoss|V1.2-5_mapping_Phypa_91889
Pp1s29_82V6.1	rensing		2010-01-15 14:28:45	WOX2	cosmoss|V1.2-5_mapping_Phypa_7235
Pp1s224_106V6.1	rensing		2010-01-15 14:25:51	WOX1	cosmoss|V1.2-5_mapping_Phypa_7275
Pp1s80_72V6.1	rensing		2010-01-15 11:28:06	HYH2	cosmoss|V1.2-5_mapping_Phypa_130041
Pp1s80_72V6.2	rensing		2010-01-15 11:28:06	HYH2	cosmoss|V1.2-5_mapping_Phypa_130041
Pp1s80_72V6.3	rensing		2010-01-15 11:28:06	HYH2	cosmoss|V1.2-5_mapping_Phypa_130041
Pp1s87_156V6.1	rensing		2010-01-15 11:20:33	HYH1	cosmoss|V1.2-5_mapping_Phypa_213225
Pp1s307_70V6.1	bressendorf	90	2010-01-06 11:30:45	STG1	cosmoss|V1.2-5_mapping_Phypa_456754
Pp1s161_32V6.1	lang	69	2009-11-08 11:48:18	LHCA1.2	cosmoss|V1.2-5_mapping_Phypa_218647
Pp1s161_32V6.2	lang	69	2009-11-08 11:48:18	LHCA1.2	cosmoss|V1.2-5_mapping_Phypa_218647
Pp1s8_288V6.1	lang	70	2009-07-17 09:24:55	PCA1	cosmoss|V1.2-5_mapping_Phypa_202276
Pp1s442_22V6.1	lang		2009-07-16 22:35:58	COR47	cosmoss|V1.2-5_mapping_Phypa_173331
Pp1s442_22V6.2	lang		2009-07-16 22:35:58	COR47	cosmoss|V1.2-5_mapping_Phypa_173331
Pp1s46_326V6.1	lang	70	2009-07-16 22:06:53	COR-TMC-AP3	cosmoss|V1.2-5_mapping_Phypa_74335
Pp1s46_326V6.1	lang	71	2009-07-16 22:06:53	COR-TMC-AP3	cosmoss|V1.2-5_mapping_Phypa_74335
Pp1s46_326V6.2	lang	70	2009-07-16 22:06:53	COR-TMC-AP3	cosmoss|V1.2-5_mapping_Phypa_74335
Pp1s46_326V6.2	lang	71	2009-07-16 22:06:53	COR-TMC-AP3	cosmoss|V1.2-5_mapping_Phypa_74335
Pp1s99_95V6.1	lang	69	2009-07-04 14:01:55	LHCSR2	cosmoss|V1.2-5_mapping_Phypa_233731
Pp1s213_80V6.1	lang	69	2009-07-04 13:50:13	LHCSR1	cosmoss|V1.2-5_mapping_Phypa_169593
Pp1s364_8V6.1	lang	69	2009-07-04 13:35:41	FC2.1	cosmoss|V1.2-5_mapping_Phypa_152394
Pp1s371_25V6.1	lang	69	2009-07-04 13:25:31	FC2.2	cosmoss|V1.2-5_mapping_Phypa_31862
Pp1s38_333V6.1	lang	69	2009-07-04 13:13:01	FC2.3	cosmoss|V1.2-5_mapping_Phypa_121944
Pp1s262_24V6.1	lang	69	2009-07-04 12:52:24	ELIP2.2	cosmoss|V1.2-5_mapping_Phypa_94482
Pp1s10_181V6.1	lang	69	2009-07-04 12:45:49	ELIP2.1.2	cosmoss|V1.2-5_mapping_Phypa_55357
Pp1s196_69V6.1	lang	69	2009-07-04 12:39:30	ELIP2.3	cosmoss|V1.2-5_mapping_Phypa_220481
Pp1s10_179V6.1	lang	69	2009-07-04 12:31:18	ELIP2.1.1	cosmoss|V1.2-5_mapping_Phypa_114373
Pp1s371_45V6.1	lang	69	2009-07-04 12:23:09	ELIP2.4	cosmoss|V1.2-5_mapping_Phypa_152573
Pp1s239_24V6.1	lang	69	2009-07-04 12:14:55	ELIP1.4	cosmoss|V1.2-5_mapping_Phypa_93237
Pp1s219_37V6.1	lang	69	2009-07-04 12:08:56	elip-like pseudogene	cosmoss|V1.2-5_mapping_Phypa_92034
Pp1s78_96V6.1	lang	69	2009-07-04 11:42:12	ELIP1.8	cosmoss|V1.2-5_mapping_Phypa_233424
Pp1s140_1V6.1	lang	69	2009-07-04 11:30:28	ELIP1.2.4	cosmoss|V1.2-5_mapping_Phypa_232843
Pp1s255_60V6.1	lang	69	2009-07-04 11:21:09	ELIP1.7.1	cosmoss|V1.2-5_mapping_Phypa_196099
Pp1s308_34V6.1	lang	69	2009-07-04 11:05:23	ELIP1.2.3	cosmoss|V1.2-5_mapping_Phypa_149976
Pp1s308_33V6.1	lang	69	2009-07-04 10:58:21	ELIP1.2.2	cosmoss|V1.2-5_mapping_Phypa_149966
Pp1s255_63V6.1	lang	69	2009-07-04 10:51:22	ELIP1.7.2	cosmoss|V1.2-5_mapping_Phypa_147124
Pp1s172_69V6.1	lang	69	2009-07-04 10:44:48	ELIP1.3	cosmoss|V1.2-5_mapping_Phypa_140912
Pp1s46_61V6.1	lang	69	2009-07-04 10:29:56	ELIP1.6	cosmoss|V1.2-5_mapping_Phypa_123817
Pp1s25_319V6.1	lang	69	2009-07-04 10:24:21	ELIP1.5	cosmoss|V1.2-5_mapping_Phypa_428481
Pp1s15_467V6.1	lang	69	2009-07-04 09:59:44	ELIP1.1.2	cosmoss|V1.2-5_mapping_Phypa_116307
Pp1s15_459V6.1	lang	69	2009-07-04 09:48:06	ELIP1.1.1	cosmoss|V1.2-5_mapping_Phypa_116123
Pp1s308_32V6.1	lang	69	2009-07-04 09:35:57	ELIP1.2.1	cosmoss|V1.2-5_mapping_Phypa_149967
Pp1s77_163V6.1	lang	69	2009-07-04 08:30:32	ELIP3	cosmoss|V1.2-5_mapping_Phypa_233359
Pp1s77_163V6.2	lang	69	2009-07-04 08:30:32	ELIP3	cosmoss|V1.2-5_mapping_Phypa_233359
Pp1s218_7V6.1	jost		2009-07-03 14:42:11	TUB2	cosmoss|V1.2-5_mapping_Phypa_451927
Pp1s124_108V6.1	decker		2009-07-03 13:52:58	RB3	cosmoss|V1.2-5_mapping_Phypa_444075
Pp1s297_21V6.1	cosmoss		2009-06-30 12:51:53	GLP6	cosmoss|V1.2-5_mapping_Phypa_149463
Pp1s297_21V6.2	cosmoss		2009-06-30 12:51:53	GLP6	cosmoss|V1.2-5_mapping_Phypa_149463
Pp1s297_21V6.3	cosmoss		2009-06-30 12:51:53	GLP6	cosmoss|V1.2-5_mapping_Phypa_149463
Pp1s297_21V6.4	cosmoss		2009-06-30 12:51:53	GLP6	cosmoss|V1.2-5_mapping_Phypa_149463
Pp1s279_86V6.1	cosmoss		2009-06-30 12:51:52	HFO1508	cosmoss|V1.2-5_mapping_Phypa_60756
Pp1s247_16V6.1	cosmoss		2009-06-30 12:51:50	ABCI13	cosmoss|V1.2-5_mapping_Phypa_146726
Pp1s233_24V6.1	cosmoss	139	2009-06-30 12:51:49	PHY1	cosmoss|V1.2-5_mapping_Phypa_222399
Pp1s238_75V6.1	cosmoss		2009-06-30 12:51:49	ARP1508	cosmoss|V1.2-5_mapping_Phypa_195396
Pp1s245_17V6.1	cosmoss		2009-06-30 12:51:49	PATPB1501	cosmoss|V1.2-5_mapping_Phypa_170441
Pp1s218_122V6.1	cosmoss		2009-06-30 12:51:47	ABCD7	cosmoss|V1.2-5_mapping_Phypa_144681
Pp1s195_75V6.1	cosmoss		2009-06-30 12:51:46	WRKY36	cosmoss|V1.2-5_mapping_Phypa_90300
Pp1s160_135V6.1	cosmoss		2009-06-30 12:51:42	CKI3C	cosmoss|V1.2-5_mapping_Phypa_87712
Pp1s149_36V6.1	cosmoss		2009-06-30 12:51:41	DCL1507	cosmoss|V1.2-5_mapping_Phypa_86688
Pp1s149_37V6.1	cosmoss		2009-06-30 12:51:41	DCL1507	cosmoss|V1.2-5_mapping_Phypa_86688
Pp1s109_123V6.1	cosmoss		2009-06-30 12:51:36	WRKY11	cosmoss|V1.2-5_mapping_Phypa_19842
Pp1s91_36V6.1	cosmoss		2009-06-30 12:51:34	GLP3	cosmoss|V1.2-5_mapping_Phypa_131859
Pp1s85_160V6.1	cosmoss		2009-06-30 12:51:33	ARP1506	cosmoss|V1.2-5_mapping_Phypa_106591
Pp1s85_160V6.2	cosmoss		2009-06-30 12:51:33	ARP1506	cosmoss|V1.2-5_mapping_Phypa_106591
Pp1s81_36V6.1	cosmoss		2009-06-30 12:51:32	RABE11	cosmoss|V1.2-5_mapping_Phypa_212571
Pp1s81_36V6.2	cosmoss		2009-06-30 12:51:32	RABE11	cosmoss|V1.2-5_mapping_Phypa_212571
Pp1s82_108V6.1	cosmoss		2009-06-30 12:51:32	BRAT1501	cosmoss|V1.2-5_mapping_Phypa_185326
Pp1s67_242V6.1	cosmoss		2009-06-30 12:51:28	MSCL2	cosmoss|V1.2-5_mapping_Phypa_211079
Pp1s53_217V6.1	cosmoss		2009-06-30 12:51:25	HDA1503	cosmoss|V1.2-5_mapping_Phypa_125141
Pp1s53_217V6.2	cosmoss		2009-06-30 12:51:25	HDA1503	cosmoss|V1.2-5_mapping_Phypa_125141
Pp1s46_245V6.1	cosmoss		2009-06-30 12:51:24	HTA1501	cosmoss|V1.2-5_mapping_Phypa_181052
Pp1s38_399V6.1	cosmoss		2009-06-30 12:51:22	HDMA1503	cosmoss|V1.2-5_mapping_Phypa_121891
Pp1s28_223V6.1	cosmoss		2009-06-30 12:51:19	MSCL8	cosmoss|V1.2-5_mapping_Phypa_119414
Pp1s12_267V6.1	cosmoss		2009-06-30 12:51:15	RABH11	cosmoss|V1.2-5_mapping_Phypa_159393
Pp1s15_90V6.1	cosmoss		2009-06-30 12:51:15	SRT1504	cosmoss|V1.2-5_mapping_Phypa_116322
Pp1s15_90V6.2	cosmoss		2009-06-30 12:51:15	SRT1504	cosmoss|V1.2-5_mapping_Phypa_116322
Pp1s12_186V6.1	cosmoss		2009-06-30 12:51:14	UVR3	cosmoss|V1.2-5_mapping_Phypa_114984
Pp1s12_186V6.2	cosmoss		2009-06-30 12:51:14	UVR3	cosmoss|V1.2-5_mapping_Phypa_114984
Pp1s12_186V6.3	cosmoss		2009-06-30 12:51:14	UVR3	cosmoss|V1.2-5_mapping_Phypa_114984
Pp1s7_338V6.1	cosmoss		2009-06-30 12:51:13	SAR12	cosmoss|V1.2-5_mapping_Phypa_202041
Pp1s8_103V6.1	cosmoss		2009-06-30 12:51:13	CHC1501	cosmoss|V1.2-5_mapping_Phypa_113811
Pp1s426_30V6.1	cosmoss		2009-06-30 12:51:07	WRKY15	cosmoss|V1.2-5_mapping_Phypa_38878
Pp1s351_29V6.1	cosmoss		2009-06-30 12:51:04	HDA1504	cosmoss|V1.2-5_mapping_Phypa_199053
Pp1s313_50V6.1	cosmoss		2009-06-30 12:51:03	PRMT1504	cosmoss|V1.2-5_mapping_Phypa_198088
Pp1s332_37V6.1	cosmoss		2009-06-30 12:51:03	ABCB10	cosmoss|V1.2-5_mapping_Phypa_225750
Pp1s300_26V6.1	cosmoss		2009-06-30 12:51:02	ABCB6	cosmoss|V1.2-5_mapping_Phypa_224785
Pp1s310_49V6.1	cosmoss		2009-06-30 12:51:02	VEF1501	cosmoss|V1.2-5_mapping_Phypa_96744
Pp1s259_63V6.1	cosmoss		2009-06-30 12:51:00	HFO1501	cosmoss|V1.2-5_mapping_Phypa_196255
Pp1s196_72V6.1	cosmoss		2009-06-30 12:50:54	RABB14	cosmoss|V1.2-5_mapping_Phypa_193235
Pp1s196_72V6.2	cosmoss		2009-06-30 12:50:54	RABB14	cosmoss|V1.2-5_mapping_Phypa_193235
Pp1s196_72V6.3	cosmoss		2009-06-30 12:50:54	RABB14	cosmoss|V1.2-5_mapping_Phypa_193235
Pp1s196_72V6.4	cosmoss		2009-06-30 12:50:54	RABB14	cosmoss|V1.2-5_mapping_Phypa_193235
Pp1s198_83V6.1	cosmoss		2009-06-30 12:50:54	WRKY31	cosmoss|V1.2-5_mapping_Phypa_49643
Pp1s200_88V6.1	cosmoss		2009-06-30 12:50:54	HDMA1504	cosmoss|V1.2-5_mapping_Phypa_169206
Pp1s200_88V6.2	cosmoss		2009-06-30 12:50:54	HDMA1504	cosmoss|V1.2-5_mapping_Phypa_169206
Pp1s174_62V6.1	cosmoss		2009-06-30 12:50:51	PHOTA1	cosmoss|V1.2-5_mapping_Phypa_219412
Pp1s174_62V6.2	cosmoss		2009-06-30 12:50:51	PHOTA1	cosmoss|V1.2-5_mapping_Phypa_219412
Pp1s105_137V6.1	cosmoss		2009-06-30 12:50:43	ABCC5	cosmoss|V1.2-5_mapping_Phypa_187434
Pp1s110_81V6.1	cosmoss		2009-06-30 12:50:43	ABCI1	cosmoss|V1.2-5_mapping_Phypa_134304
Pp1s95_20V6.1	cosmoss		2009-06-30 12:50:40	RABD12	cosmoss|V1.2-5_mapping_Phypa_186523
Pp1s84_218V6.1	cosmoss		2009-06-30 12:50:39	ABCD4	cosmoss|V1.2-5_mapping_Phypa_130679
Pp1s80_60V6.1	cosmoss		2009-06-30 12:50:38	FTSZ2-1	cosmoss|V1.2-5_mapping_Phypa_212480
Pp1s80_60V6.2	cosmoss		2009-06-30 12:50:38	FTSZ2-1	cosmoss|V1.2-5_mapping_Phypa_212480
Pp1s69_145V6.1	cosmoss		2009-06-30 12:50:36	HCP1501	cosmoss|V1.2-5_mapping_Phypa_128354
Pp1s70_131V6.1	cosmoss		2009-06-30 12:50:36	ARFA12	cosmoss|V1.2-5_mapping_Phypa_184046
Pp1s71_149V6.1	cosmoss		2009-06-30 12:50:36	ABCG30	cosmoss|V1.2-5_mapping_Phypa_41350
Pp1s65_316V6.1	cosmoss		2009-06-30 12:50:35	CKI2E	cosmoss|V1.2-5_mapping_Phypa_10726
Pp1s54_307V6.1	cosmoss		2009-06-30 12:50:33	ETR3	cosmoss|V1.2-5_mapping_Phypa_209543
Pp1s51_334V6.1	cosmoss		2009-06-30 12:50:32	RABC13	cosmoss|V1.2-5_mapping_Phypa_181727
Pp1s53_120V6.1	cosmoss		2009-06-30 12:50:32	SYP2B1	cosmoss|V1.2-5_mapping_Phypa_105891
Pp1s53_120V6.2	cosmoss		2009-06-30 12:50:32	SYP2B1	cosmoss|V1.2-5_mapping_Phypa_105891
Pp1s54_8V6.1	cosmoss		2009-06-30 12:50:32	MSCL15	cosmoss|V1.2-5_mapping_Phypa_125400
